baseline_risk,benefit_if_success,case_id,confidence_score,interpretation,intervention_cost,loss_if_failure,risk_band,risk_lower,risk_uncertainty,risk_upper
0.284091,95.717983,38,0.808959,Synthetic case for comparing decision rules under uncertainty.,39.962602,168.949205,low,0.184308,0.099784,0.383875
0.55933,162.908447,39,0.814125,Synthetic case for comparing decision rules under uncertainty.,41.069164,161.09279,moderate,0.403306,0.156024,0.715354
0.399249,117.48103,40,0.721683,Synthetic case for comparing decision rules under uncertainty.,43.839713,143.479717,moderate,0.337633,0.061616,0.460865
0.136566,112.295771,41,0.85215,Synthetic case for comparing decision rules under uncertainty.,24.655554,101.959536,low,0.027501,0.109065,0.245632
0.248685,136.134161,42,0.822238,Synthetic case for comparing decision rules under uncertainty.,31.17755,143.413108,low,0.115572,0.133113,0.381799
0.605856,200.315234,43,0.881662,Synthetic case for comparing decision rules under uncertainty.,38.447014,118.771981,moderate,0.497556,0.1083,0.714156
0.440569,150.12509,44,0.724545,Synthetic case for comparing decision rules under uncertainty.,43.681394,220.33137,moderate,0.311206,0.129363,0.569932
0.349273,163.978614,45,0.703443,Synthetic case for comparing decision rules under uncertainty.,39.940126,192.418239,low,0.246065,0.103208,0.45248
0.1319,105.246942,46,0.877934,Synthetic case for comparing decision rules under uncertainty.,22.874457,162.425759,low,0.053117,0.078783,0.210683
0.48055,142.935527,47,0.898593,Synthetic case for comparing decision rules under uncertainty.,49.705849,205.503869,moderate,0.43614,0.04441,0.52496
0.341447,131.164744,48,0.738347,Synthetic case for comparing decision rules under uncertainty.,39.115469,151.990734,low,0.193592,0.147854,0.489301
0.497891,151.855105,49,0.72518,Synthetic case for comparing decision rules under uncertainty.,34.624666,225.730688,moderate,0.32476,0.173131,0.671021
0.618102,182.491379,50,0.751278,Synthetic case for comparing decision rules under uncertainty.,44.063809,245.802005,moderate,0.426657,0.191445,0.809547
0.433211,167.167555,51,0.859548,Synthetic case for comparing decision rules under uncertainty.,37.885737,159.883587,moderate,0.252175,0.181036,0.614247
0.257394,87.681314,52,0.741524,Synthetic case for comparing decision rules under uncertainty.,43.122256,170.190702,low,0.203059,0.054336,0.31173
0.30049,109.110007,53,0.710436,Synthetic case for comparing decision rules under uncertainty.,42.863809,99.659711,low,0.193291,0.107199,0.407689
0.536216,132.387547,54,0.839091,Synthetic case for comparing decision rules under uncertainty.,34.549825,189.637517,moderate,0.346649,0.189566,0.725782
0.207879,119.388921,55,0.734805,Synthetic case for comparing decision rules under uncertainty.,33.820202,234.563527,low,0.053642,0.154237,0.362116
0.710633,182.870176,56,0.835714,Synthetic case for comparing decision rules under uncertainty.,51.352304,238.657646,high,0.531879,0.178754,0.889387
0.218763,48.844077,57,0.62904,Synthetic case for comparing decision rules under uncertainty.,31.832218,192.29972,low,0.124274,0.094489,0.313252
0.473915,98.557632,58,0.761154,Synthetic case for comparing decision rules under uncertainty.,34.612199,145.994121,moderate,0.367095,0.10682,0.580736
0.256934,134.497733,59,0.865853,Synthetic case for comparing decision rules under uncertainty.,34.918053,139.356027,low,0.113974,0.14296,0.399895
0.400187,84.397575,60,0.845045,Synthetic case for comparing decision rules under uncertainty.,29.392888,147.244629,moderate,0.288401,0.111785,0.511972
0.177893,75.591621,61,0.59881,Synthetic case for comparing decision rules under uncertainty.,34.094303,130.666699,low,0.073623,0.104269,0.282162
0.465913,92.654538,62,0.674941,Synthetic case for comparing decision rules under uncertainty.,32.032874,132.934157,moderate,0.226026,0.239887,0.705799
0.463656,132.904313,63,0.870885,Synthetic case for comparing decision rules under uncertainty.,43.610156,199.260622,moderate,0.343171,0.120485,0.584141
0.213398,132.667544,64,0.7606,Synthetic case for comparing decision rules under uncertainty.,18.395146,153.922297,low,0.190458,0.02294,0.236338
0.218669,116.014167,65,0.751508,Synthetic case for comparing decision rules under uncertainty.,48.63072,150.167592,low,0.062807,0.155863,0.374532
0.316928,114.730188,66,0.88004,Synthetic case for comparing decision rules under uncertainty.,38.313073,116.189992,low,0.197299,0.119629,0.436558
0.517472,146.027969,67,0.796534,Synthetic case for comparing decision rules under uncertainty.,59.574904,153.481117,moderate,0.312296,0.205176,0.722648
0.392544,122.920997,68,0.735038,Synthetic case for comparing decision rules under uncertainty.,39.233749,146.048928,moderate,0.232154,0.16039,0.552935
0.353157,158.960905,69,0.741133,Synthetic case for comparing decision rules under uncertainty.,38.51135,164.399515,moderate,0.230668,0.122489,0.475647
0.31364,122.294376,70,0.764621,Synthetic case for comparing decision rules under uncertainty.,37.361953,148.061456,low,0.189226,0.124414,0.438053
0.444364,183.138152,71,0.745309,Synthetic case for comparing decision rules under uncertainty.,48.640159,115.70076,moderate,0.296748,0.147616,0.59198
0.264675,104.987738,72,0.719195,Synthetic case for comparing decision rules under uncertainty.,40.324827,112.572381,low,0.111827,0.152847,0.417522
0.378414,122.67408,73,0.81593,Synthetic case for comparing decision rules under uncertainty.,47.833139,160.409703,moderate,0.249628,0.128787,0.507201
0.307114,114.090165,74,0.872148,Synthetic case for comparing decision rules under uncertainty.,30.405353,192.248078,low,0.244849,0.062265,0.369379
0.356307,122.650027,75,0.760612,Synthetic case for comparing decision rules under uncertainty.,29.416003,182.494759,moderate,0.187664,0.168643,0.524949
0.172548,107.499584,76,0.845381,Synthetic case for comparing decision rules under uncertainty.,19.693974,121.267993,low,0.094505,0.078043,0.250591
0.485297,121.076302,77,0.770746,Synthetic case for comparing decision rules under uncertainty.,47.10173,221.979175,moderate,0.355482,0.129815,0.615113
0.27688,136.100515,78,0.809516,Synthetic case for comparing decision rules under uncertainty.,41.500061,225.920357,low,0.165962,0.110919,0.387799
0.70489,137.942869,79,0.682673,Synthetic case for comparing decision rules under uncertainty.,47.720691,202.467939,high,0.508451,0.196439,0.901329
0.304981,113.133427,80,0.824491,Synthetic case for comparing decision rules under uncertainty.,35.176006,169.663909,low,0.179541,0.125439,0.43042
0.25415,132.25119,81,0.779932,Synthetic case for comparing decision rules under uncertainty.,31.258548,203.679025,low,0.211803,0.042347,0.296497
0.533056,144.089191,82,0.764805,Synthetic case for comparing decision rules under uncertainty.,42.74374,162.839912,moderate,0.437183,0.095873,0.628929
0.525313,187.226153,83,0.765421,Synthetic case for comparing decision rules under uncertainty.,40.1792,194.040168,moderate,0.410083,0.11523,0.640543
0.485017,118.850273,84,0.735224,Synthetic case for comparing decision rules under uncertainty.,39.981922,194.057058,moderate,0.380748,0.104268,0.589285
0.397145,145.760406,85,0.75151,Synthetic case for comparing decision rules under uncertainty.,36.07793,202.977862,moderate,0.248652,0.148494,0.545639
0.588541,151.722371,86,0.738382,Synthetic case for comparing decision rules under uncertainty.,50.78322,175.589929,moderate,0.514551,0.07399,0.662532
0.328159,152.01018,87,0.709643,Synthetic case for comparing decision rules under uncertainty.,41.585409,181.892577,low,0.190389,0.13777,0.465929
0.629826,197.921537,88,0.693378,Synthetic case for comparing decision rules under uncertainty.,38.780033,224.983075,moderate,0.498526,0.1313,0.761125
0.413525,127.515686,89,0.755198,Synthetic case for comparing decision rules under uncertainty.,36.365212,173.84752,moderate,0.266632,0.146893,0.560418
0.258913,172.421019,90,0.918214,Synthetic case for comparing decision rules under uncertainty.,25.921688,167.215273,low,0.17169,0.087223,0.346136
0.417088,138.881909,91,0.698316,Synthetic case for comparing decision rules under uncertainty.,43.239038,203.710492,moderate,0.299468,0.11762,0.534709
0.196619,142.074514,92,0.612276,Synthetic case for comparing decision rules under uncertainty.,30.131697,125.771608,low,0.123613,0.073006,0.269625
0.498265,176.585915,93,0.779525,Synthetic case for comparing decision rules under uncertainty.,50.026339,206.954209,moderate,0.37326,0.125005,0.62327
0.705664,170.342977,94,0.810387,Synthetic case for comparing decision rules under uncertainty.,55.372025,259.633913,high,0.537812,0.167853,0.873517
0.554133,118.652919,95,0.79649,Synthetic case for comparing decision rules under uncertainty.,50.895514,265.883197,moderate,0.450202,0.103931,0.658064
0.372703,87.211868,96,0.78508,Synthetic case for comparing decision rules under uncertainty.,29.765314,160.155952,moderate,0.270866,0.101838,0.474541
0.312711,93.576407,97,0.836762,Synthetic case for comparing decision rules under uncertainty.,25.359001,167.766634,low,0.282638,0.030073,0.342784
0.729282,164.50854,98,0.767292,Synthetic case for comparing decision rules under uncertainty.,49.881799,159.44795,high,0.547748,0.181534,0.910816
0.3893,175.086535,99,0.845335,Synthetic case for comparing decision rules under uncertainty.,41.906976,144.617372,moderate,0.339935,0.049365,0.438665
0.057058,142.681786,100,0.773212,Synthetic case for comparing decision rules under uncertainty.,23.728568,155.570318,low,0.0,0.078966,0.136024
0.620644,105.099565,101,0.852322,Synthetic case for comparing decision rules under uncertainty.,40.619801,167.373352,moderate,0.477647,0.142997,0.763641
0.120518,86.89574,102,0.715784,Synthetic case for comparing decision rules under uncertainty.,43.919988,178.814367,low,0.080402,0.040116,0.160634
0.393151,131.953836,103,0.843235,Synthetic case for comparing decision rules under uncertainty.,56.338432,174.44835,moderate,0.327721,0.065429,0.45858
0.240545,174.318179,104,0.781144,Synthetic case for comparing decision rules under uncertainty.,38.90063,151.716938,low,0.152333,0.088212,0.328758
0.466307,155.25303,105,0.714964,Synthetic case for comparing decision rules under uncertainty.,35.471448,170.896456,moderate,0.34018,0.126127,0.592434
0.246889,109.867679,106,0.861966,Synthetic case for comparing decision rules under uncertainty.,34.815403,126.945724,low,0.173889,0.073,0.319889
0.701413,149.074165,107,0.806407,Synthetic case for comparing decision rules under uncertainty.,53.464428,138.207483,high,0.527158,0.174255,0.875668
0.397988,148.623491,108,0.808031,Synthetic case for comparing decision rules under uncertainty.,31.685273,134.68747,moderate,0.271724,0.126264,0.524252
0.48893,112.351121,109,0.799058,Synthetic case for comparing decision rules under uncertainty.,60.125428,247.264948,moderate,0.391156,0.097775,0.586705
0.240294,151.359163,110,0.776681,Synthetic case for comparing decision rules under uncertainty.,35.111138,180.263855,low,0.106794,0.1335,0.373794
0.695326,160.673871,111,0.720383,Synthetic case for comparing decision rules under uncertainty.,49.826924,223.735118,high,0.565263,0.130063,0.825389
0.419763,115.343425,112,0.700186,Synthetic case for comparing decision rules under uncertainty.,44.045604,185.701024,moderate,0.316122,0.103641,0.523405
0.511351,163.345596,113,0.701208,Synthetic case for comparing decision rules under uncertainty.,56.018773,160.079662,moderate,0.417504,0.093847,0.605197
0.170201,62.14907,114,0.615171,Synthetic case for comparing decision rules under uncertainty.,29.517025,157.594782,low,0.086993,0.083208,0.253409
0.057717,74.060146,115,0.737455,Synthetic case for comparing decision rules under uncertainty.,33.713721,91.76952,low,0.0,0.065742,0.123459
0.221492,66.063558,116,0.779897,Synthetic case for comparing decision rules under uncertainty.,24.534764,218.170939,low,0.153703,0.067789,0.289282
0.419125,119.574393,117,0.658793,Synthetic case for comparing decision rules under uncertainty.,31.202532,199.67788,moderate,0.256021,0.163104,0.582228
0.362431,140.456604,118,0.714768,Synthetic case for comparing decision rules under uncertainty.,49.860163,111.498542,moderate,0.241094,0.121336,0.483767
0.533844,127.224738,119,0.762987,Synthetic case for comparing decision rules under uncertainty.,37.634413,160.592774,moderate,0.444357,0.089486,0.62333
0.420626,156.01326,120,0.876451,Synthetic case for comparing decision rules under uncertainty.,41.471055,188.63149,moderate,0.267789,0.152837,0.573463
0.32957,112.851039,121,0.810959,Synthetic case for comparing decision rules under uncertainty.,28.026251,201.103247,low,0.28605,0.04352,0.373091
0.072522,89.678057,122,0.800324,Synthetic case for comparing decision rules under uncertainty.,39.860268,104.781193,low,0.0,0.13401,0.206533
0.262247,112.173035,123,0.7939,Synthetic case for comparing decision rules under uncertainty.,45.450783,217.728437,low,0.152649,0.109598,0.371844
0.255037,122.212879,124,0.820779,Synthetic case for comparing decision rules under uncertainty.,26.982309,211.327534,low,0.166959,0.088078,0.343114
0.2701,144.525585,125,0.904736,Synthetic case for comparing decision rules under uncertainty.,28.294492,112.594297,low,0.19144,0.078661,0.348761
0.208157,84.747352,126,0.803319,Synthetic case for comparing decision rules under uncertainty.,35.176386,123.197534,low,0.152375,0.055782,0.263939
0.259138,80.829538,127,0.811464,Synthetic case for comparing decision rules under uncertainty.,38.637912,160.355678,low,0.183616,0.075522,0.334661
0.084723,63.203578,128,0.763469,Synthetic case for comparing decision rules under uncertainty.,39.945808,137.542881,low,0.035556,0.049168,0.133891
0.235391,131.816065,129,0.860243,Synthetic case for comparing decision rules under uncertainty.,31.754894,133.244564,low,0.142416,0.092975,0.328367
0.324902,184.76023,130,0.69041,Synthetic case for comparing decision rules under uncertainty.,49.602844,195.897994,low,0.163966,0.160936,0.485838
0.654169,115.135214,131,0.726542,Synthetic case for comparing decision rules under uncertainty.,49.930741,258.497687,high,0.475871,0.178298,0.832467
0.090539,126.70339,132,0.734439,Synthetic case for comparing decision rules under uncertainty.,27.783938,194.091025,low,0.03766,0.052879,0.143418
0.46262,169.702092,133,0.688605,Synthetic case for comparing decision rules under uncertainty.,44.260017,206.049646,moderate,0.302226,0.160394,0.623014
0.586521,165.622035,134,0.863059,Synthetic case for comparing decision rules under uncertainty.,27.105444,194.154594,moderate,0.446875,0.139646,0.726167
0.515137,132.216685,135,0.686562,Synthetic case for comparing decision rules under uncertainty.,40.383157,163.952512,moderate,0.368075,0.147062,0.6622
0.692902,162.542269,136,0.76908,Synthetic case for comparing decision rules under uncertainty.,45.913678,167.677858,high,0.557414,0.135488,0.828391
0.320715,115.442034,137,0.799908,Synthetic case for comparing decision rules under uncertainty.,45.797364,116.526921,low,0.202025,0.11869,0.439405
0.617515,151.334235,138,0.746926,Synthetic case for comparing decision rules under uncertainty.,48.912925,214.594915,moderate,0.502305,0.115211,0.732726
0.502458,101.444761,139,0.642785,Synthetic case for comparing decision rules under uncertainty.,35.84684,79.284265,moderate,0.350528,0.15193,0.654388
0.421489,158.49161,140,0.796148,Synthetic case for comparing decision rules under uncertainty.,41.159858,56.784854,moderate,0.346414,0.075075,0.496565
0.440275,159.981137,141,0.726345,Synthetic case for comparing decision rules under uncertainty.,42.338549,175.49674,moderate,0.327568,0.112708,0.552983
0.32736,131.089536,142,0.728533,Synthetic case for comparing decision rules under uncertainty.,35.74194,114.322172,low,0.211843,0.115517,0.442877
0.164891,150.98596,143,0.689868,Synthetic case for comparing decision rules under uncertainty.,39.444762,85.31962,low,0.079914,0.084977,0.249868
0.372059,120.501186,144,0.734503,Synthetic case for comparing decision rules under uncertainty.,41.001451,145.029824,moderate,0.233675,0.138384,0.510442
0.638826,214.074847,145,0.845702,Synthetic case for comparing decision rules under uncertainty.,45.76976,225.913905,moderate,0.50684,0.131986,0.770811
0.867598,180.066905,146,0.685502,Synthetic case for comparing decision rules under uncertainty.,50.254736,274.86366,high,0.694055,0.173543,1.0
0.50335,191.362723,147,0.93489,Synthetic case for comparing decision rules under uncertainty.,45.85774,147.866826,moderate,0.337842,0.165508,0.668858
0.531544,122.865892,148,0.72162,Synthetic case for comparing decision rules under uncertainty.,50.352396,211.908268,moderate,0.415867,0.115677,0.64722
0.490009,202.845513,149,0.85218,Synthetic case for comparing decision rules under uncertainty.,33.658223,279.977084,moderate,0.395311,0.094698,0.584707
0.340856,110.630716,150,0.723958,Synthetic case for comparing decision rules under uncertainty.,32.868015,191.842164,low,0.233541,0.107315,0.448171
0.23214,123.434794,151,0.829985,Synthetic case for comparing decision rules under uncertainty.,34.904112,118.926102,low,0.097518,0.134623,0.366763
0.517024,136.573289,152,0.775975,Synthetic case for comparing decision rules under uncertainty.,34.501058,207.504507,moderate,0.400506,0.116518,0.633542
0.242763,130.039572,153,0.719258,Synthetic case for comparing decision rules under uncertainty.,39.184311,101.143226,low,0.157485,0.085279,0.328042
0.228978,82.140564,154,0.803889,Synthetic case for comparing decision rules under uncertainty.,48.694757,197.926412,low,0.111146,0.117832,0.34681
0.517393,124.376885,155,0.775825,Synthetic case for comparing decision rules under uncertainty.,34.663509,129.48325,moderate,0.381834,0.135558,0.652951
0.45735,163.223175,156,0.72728,Synthetic case for comparing decision rules under uncertainty.,45.578174,192.307407,moderate,0.344541,0.112809,0.570159
0.425799,105.317601,157,0.701964,Synthetic case for comparing decision rules under uncertainty.,36.712565,161.862057,moderate,0.292822,0.132977,0.558776
0.216754,91.727666,158,0.763674,Synthetic case for comparing decision rules under uncertainty.,30.932641,135.776648,low,0.100706,0.116048,0.332801
0.238306,137.480642,159,0.718381,Synthetic case for comparing decision rules under uncertainty.,21.23455,109.0499,low,0.140879,0.097427,0.335733
0.388146,107.767535,160,0.838732,Synthetic case for comparing decision rules under uncertainty.,46.032494,238.009062,moderate,0.201231,0.186914,0.57506
0.135361,96.511938,161,0.844007,Synthetic case for comparing decision rules under uncertainty.,30.016564,151.570309,low,0.007048,0.128313,0.263674
0.330731,117.283446,162,0.873248,Synthetic case for comparing decision rules under uncertainty.,42.091362,164.239479,low,0.229348,0.101383,0.432113
0.142028,73.024454,163,0.886569,Synthetic case for comparing decision rules under uncertainty.,30.486364,190.154184,low,0.038875,0.103153,0.245181
0.438041,174.287964,164,0.805719,Synthetic case for comparing decision rules under uncertainty.,36.567266,177.314387,moderate,0.312103,0.125937,0.563978
0.296505,113.510285,165,0.793058,Synthetic case for comparing decision rules under uncertainty.,31.772101,139.358676,low,0.163811,0.132694,0.429199
0.425712,120.837499,166,0.883629,Synthetic case for comparing decision rules under uncertainty.,47.169129,106.891871,moderate,0.29301,0.132702,0.558415
0.220187,98.086031,167,0.858534,Synthetic case for comparing decision rules under uncertainty.,27.229017,104.586727,low,0.116883,0.103304,0.323491
0.267229,129.842183,168,0.756974,Synthetic case for comparing decision rules under uncertainty.,45.695636,108.655105,low,0.17844,0.088788,0.356017
0.247959,116.545066,169,0.836894,Synthetic case for comparing decision rules under uncertainty.,30.767825,149.966963,low,0.13037,0.117589,0.365548
0.099354,118.252261,170,0.827324,Synthetic case for comparing decision rules under uncertainty.,19.106743,78.625735,low,0.0,0.117656,0.21701
0.598062,170.514872,171,0.848028,Synthetic case for comparing decision rules under uncertainty.,35.857829,216.399684,moderate,0.449516,0.148546,0.746607
0.156724,156.712532,172,0.738386,Synthetic case for comparing decision rules under uncertainty.,39.980364,160.474727,low,0.064559,0.092165,0.248889
0.550272,95.594726,173,0.787935,Synthetic case for comparing decision rules under uncertainty.,48.277531,209.759647,moderate,0.421927,0.128345,0.678618
0.55205,144.062777,174,0.849813,Synthetic case for comparing decision rules under uncertainty.,32.995857,242.729943,moderate,0.41156,0.14049,0.692541
0.216795,125.505305,175,0.949739,Synthetic case for comparing decision rules under uncertainty.,33.359828,139.06139,low,0.17179,0.045005,0.2618
0.515413,113.424581,176,0.702658,Synthetic case for comparing decision rules under uncertainty.,37.497075,276.250484,moderate,0.335453,0.17996,0.695373
0.220317,153.531156,177,0.814427,Synthetic case for comparing decision rules under uncertainty.,29.881359,85.727697,low,0.080837,0.139479,0.359796
0.576691,127.416304,178,0.666614,Synthetic case for comparing decision rules under uncertainty.,44.267484,219.031029,moderate,0.398347,0.178344,0.755036
0.600308,146.577098,179,0.68805,Synthetic case for comparing decision rules under uncertainty.,52.380529,126.198707,moderate,0.525727,0.074581,0.67489
0.419143,133.622202,180,0.816145,Synthetic case for comparing decision rules under uncertainty.,31.183174,240.349601,moderate,0.330971,0.088172,0.507315
0.505995,147.686448,181,0.762113,Synthetic case for comparing decision rules under uncertainty.,50.267736,230.213223,moderate,0.381655,0.12434,0.630335
0.26164,141.539222,182,0.752673,Synthetic case for comparing decision rules under uncertainty.,48.630562,148.542124,low,0.163184,0.098456,0.360097
0.537697,183.216547,183,0.784027,Synthetic case for comparing decision rules under uncertainty.,45.657226,244.497937,moderate,0.393525,0.144171,0.681868
0.256413,116.91797,184,0.786588,Synthetic case for comparing decision rules under uncertainty.,36.353086,111.028792,low,0.171986,0.084428,0.340841
0.462529,146.723353,185,0.860801,Synthetic case for comparing decision rules under uncertainty.,38.135466,219.674344,moderate,0.347943,0.114586,0.577115
0.39132,134.712979,186,0.979832,Synthetic case for comparing decision rules under uncertainty.,34.056123,119.796384,moderate,0.284033,0.107287,0.498607
0.51187,161.130113,187,0.657793,Synthetic case for comparing decision rules under uncertainty.,34.244147,172.213816,moderate,0.351945,0.159925,0.671795
0.270516,102.605883,188,0.80666,Synthetic case for comparing decision rules under uncertainty.,42.45062,166.037676,low,0.155829,0.114687,0.385203
0.200954,108.236079,189,0.753415,Synthetic case for comparing decision rules under uncertainty.,34.594789,121.209921,low,0.073649,0.127305,0.328259
0.488725,116.583038,190,0.71301,Synthetic case for comparing decision rules under uncertainty.,42.448167,219.113217,moderate,0.374038,0.114687,0.603412
0.176234,100.187832,191,0.756084,Synthetic case for comparing decision rules under uncertainty.,38.615133,173.053191,low,0.054449,0.121785,0.298019
0.511972,106.504342,192,0.751779,Synthetic case for comparing decision rules under uncertainty.,44.77873,202.239888,moderate,0.354498,0.157474,0.669446
0.372875,125.781497,193,0.82377,Synthetic case for comparing decision rules under uncertainty.,42.396772,202.278743,moderate,0.230405,0.142469,0.515344
0.434906,156.622353,194,0.718333,Synthetic case for comparing decision rules under uncertainty.,32.19056,233.820491,moderate,0.297546,0.13736,0.572266
0.165116,109.982876,195,0.807744,Synthetic case for comparing decision rules under uncertainty.,21.971443,109.567768,low,0.087563,0.077553,0.242668
0.054295,86.596963,196,0.942337,Synthetic case for comparing decision rules under uncertainty.,23.876358,133.395438,low,0.0,0.104194,0.158489
0.203497,187.251869,197,0.791341,Synthetic case for comparing decision rules under uncertainty.,24.211785,156.198965,low,0.153125,0.050371,0.253868
0.445671,115.237065,198,0.831615,Synthetic case for comparing decision rules under uncertainty.,47.993334,170.450624,moderate,0.376588,0.069083,0.514755
0.171897,142.595821,199,0.752238,Synthetic case for comparing decision rules under uncertainty.,5.0,79.772077,low,0.000147,0.171749,0.343646
0.318647,117.567884,200,0.783518,Synthetic case for comparing decision rules under uncertainty.,25.672321,165.93309,low,0.154863,0.163784,0.482431
0.327323,150.258792,201,0.833952,Synthetic case for comparing decision rules under uncertainty.,52.343725,194.605801,low,0.239403,0.08792,0.415243
0.325791,125.771619,202,0.783283,Synthetic case for comparing decision rules under uncertainty.,34.531821,160.708923,low,0.221623,0.104168,0.429959
0.28085,95.796415,203,0.653281,Synthetic case for comparing decision rules under uncertainty.,37.889214,156.789282,low,0.102829,0.178021,0.458871
0.534223,165.096777,204,0.662943,Synthetic case for comparing decision rules under uncertainty.,18.155736,194.190154,moderate,0.417628,0.116596,0.650819
0.066192,89.619082,205,0.711301,Synthetic case for comparing decision rules under uncertainty.,23.220464,73.114605,low,0.0,0.07069,0.136883
0.148474,104.71015,206,0.584109,Synthetic case for comparing decision rules under uncertainty.,32.935386,127.351819,low,0.027627,0.120847,0.269321
0.404131,163.86176,207,0.572152,Synthetic case for comparing decision rules under uncertainty.,32.310437,102.494629,moderate,0.304921,0.099209,0.50334
