baseline_risk,case_id,confidence_score,downside_exposure,expected_benefit,expected_loss,expected_net_value,governance_burden,interpretation,intervention_cost,max_regret_reference,option_name,post_intervention_risk,regret,risk_reduction
0.135364,10,0.735234,16.278464,0.0,8.931431,-8.931431,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-8.931431,monitor_only,0.135364,0.0,0.0
0.135364,10,0.735234,19.346055,7.099851,8.038288,-11.105879,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,10.167442,-8.931431,light_touch_support,0.121828,2.174448,0.1
0.135364,10,0.735234,24.188359,10.972497,6.966516,-14.876411,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,18.882392,-8.931431,targeted_intervention,0.105584,5.94498,0.22
0.135364,10,0.735234,34.67902,13.554261,5.894744,-24.2953,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,31.954817,-8.931431,intensive_review,0.08934,15.363869,0.34
0.428633,11,0.719996,103.669668,0.0,74.042137,-74.042137,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-32.942789,monitor_only,0.428633,41.099348,0.0
0.428633,11,0.719996,87.104523,29.289877,66.637924,-50.072779,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.724733,-32.942789,light_touch_support,0.38577,17.12999,0.1
0.428633,11,0.719996,82.03514,45.266174,57.752867,-36.11834,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.631646,-32.942789,targeted_intervention,0.334334,3.175551,0.22
0.428633,11,0.719996,87.744646,55.917038,48.867811,-32.942789,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,39.992017,-32.942789,intensive_review,0.282898,0.0,0.34
0.533306,12,0.675063,90.092124,0.0,72.177694,-72.177694,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-28.046485,monitor_only,0.533306,44.131209,0.0
0.533306,12,0.675063,70.347367,34.418316,64.959925,-45.215168,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,14.673559,-28.046485,light_touch_support,0.479975,17.168683,0.1
0.533306,12,0.675063,64.151077,53.191943,56.298602,-30.357554,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,27.250896,-28.046485,targeted_intervention,0.415979,2.311069,0.22
0.533306,12,0.675063,70.50133,65.707694,47.637278,-28.046485,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,46.116901,-28.046485,intensive_review,0.351982,0.0,0.34
0.373873,13,0.69992,86.441959,0.0,61.075904,-61.075904,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-32.293121,monitor_only,0.373873,28.782783,0.0
0.373873,13,0.69992,74.377266,24.235248,54.968313,-42.903621,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.170555,-32.293121,light_touch_support,0.336486,10.6105,0.1
0.373873,13,0.69992,71.589944,37.454474,47.639205,-32.78719,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,22.60246,-32.293121,targeted_intervention,0.291621,0.494069,0.22
0.373873,13,0.69992,78.424984,46.267292,40.310096,-32.293121,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,38.250317,-32.293121,intensive_review,0.246756,0.0,0.34
0.373204,14,0.909836,120.406435,0.0,93.907925,-93.907925,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-46.808929,monitor_only,0.373204,47.098996,0.0
0.373204,14,0.909836,104.235736,28.896799,84.517133,-68.346434,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.7261,-46.808929,light_touch_support,0.335884,21.537505,0.1
0.373204,14,0.909836,99.381931,44.65869,73.248182,-52.223678,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.634186,-46.808929,targeted_intervention,0.291099,5.414749,0.22
0.373204,14,0.909836,105.236133,55.166617,61.979231,-46.808929,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,39.996315,-46.808929,intensive_review,0.246315,0.0,0.34
0.298415,15,0.762481,76.921397,0.0,52.951798,-52.951798,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-41.33812,monitor_only,0.298415,11.613678,0.0
0.298415,15,0.762481,73.809562,18.655942,47.656618,-44.544784,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,15.544107,-41.33812,light_touch_support,0.268574,3.206664,0.1
0.298415,15,0.762481,76.957114,28.83191,41.302403,-41.33812,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,28.867628,-41.33812,targeted_intervention,0.232764,0.0,0.22
0.298415,15,0.762481,90.158416,35.615889,34.948187,-48.185206,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,48.852909,-41.33812,intensive_review,0.196954,6.847086,0.34
0.833865,16,0.699924,291.999856,0.0,247.668359,-247.668359,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-75.735286,monitor_only,0.833865,171.933073,0.0
0.833865,16,0.699924,236.042049,71.441056,222.901523,-166.943716,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,15.483249,-75.735286,light_touch_support,0.750478,91.20843,0.1
0.833865,16,0.699924,210.345557,110.408904,193.18132,-111.527021,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,28.754605,-75.735286,targeted_intervention,0.650415,35.791735,0.22
0.833865,16,0.699924,204.274026,136.38747,163.461117,-75.735286,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,48.661639,-75.735286,intensive_review,0.550351,0.0,0.34
0.301403,17,0.836106,67.173834,0.0,45.847711,-45.847711,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-22.408378,monitor_only,0.301403,23.439333,0.0
0.301403,17,0.836106,56.102236,23.12792,41.26294,-30.191342,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.056322,-22.408378,light_touch_support,0.271263,7.782964,0.1
0.301403,17,0.836106,53.820998,35.743149,35.761215,-22.408378,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,22.390313,-22.408378,targeted_intervention,0.235094,0.0,0.22
0.301403,17,0.836106,60.911831,44.153302,30.259489,-23.997486,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,37.891299,-22.408378,intensive_review,0.198926,1.589108,0.34
0.175286,18,0.775509,16.812099,0.0,10.45161,-10.45161,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-1.620481,monitor_only,0.175286,8.831129,0.0
0.175286,18,0.775509,11.073845,13.234318,9.406449,-3.668195,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,7.496064,-1.620481,light_touch_support,0.157757,2.047714,0.1
0.175286,18,0.775509,10.280324,20.453037,8.152256,-1.620481,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,13.921263,-1.620481,targeted_intervention,0.136723,0.0,0.22
0.175286,18,0.775509,15.105641,25.265517,6.898063,-5.191605,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.55906,-1.620481,intensive_review,0.115689,3.571124,0.34
0.254071,19,0.717051,41.06491,0.0,30.365851,-30.365851,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-13.637539,monitor_only,0.254071,16.728312,0.0
0.254071,19,0.717051,32.344759,19.720796,27.329266,-18.609115,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,11.000645,-13.637539,light_touch_support,0.228664,4.971576,0.1
0.254071,19,0.717051,31.017086,30.477594,23.685364,-13.637539,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,20.429769,-13.637539,targeted_intervention,0.198175,0.0,0.22
0.254071,19,0.717051,37.989573,37.648792,20.041462,-16.966125,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,34.573455,-13.637539,intensive_review,0.167687,3.328586,0.34
0.431676,20,0.831825,69.988259,0.0,59.146119,-59.146119,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-7.981387,monitor_only,0.431676,51.164732,0.0
0.431676,20,0.831825,46.379448,34.969402,53.231507,-29.622696,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,11.360592,-7.981387,light_touch_support,0.388508,21.641309,0.1
0.431676,20,0.831825,37.042879,54.043622,46.133973,-13.188593,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,21.098241,-7.981387,targeted_intervention,0.336707,5.207206,0.22
0.431676,20,0.831825,38.933207,66.759768,39.036439,-7.981387,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,35.704716,-7.981387,intensive_review,0.284906,0.0,0.34
0.838934,21,0.811025,241.25636,0.0,203.562541,-203.562541,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-21.129935,monitor_only,0.838934,182.432606,0.0
0.838934,21,0.811025,173.78036,80.117355,183.206287,-115.730287,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.641355,-21.129935,light_touch_support,0.755041,94.600352,0.1
0.838934,21,0.811025,140.915431,123.81773,158.778782,-58.437853,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.476801,-21.129935,targeted_intervention,0.654369,37.307918,0.22
0.838934,21,0.811025,128.035018,152.951313,134.351277,-21.129935,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,39.729972,-21.129935,intensive_review,0.553696,0.0,0.34
0.167508,22,0.795784,38.38727,0.0,23.781815,-23.781815,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-20.454959,monitor_only,0.167508,3.326856,0.0
0.167508,22,0.795784,37.962443,8.643594,21.403634,-20.978807,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,8.218767,-20.454959,light_touch_support,0.150757,0.523848,0.1
0.167508,22,0.795784,40.292413,13.358282,18.549816,-20.454959,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,15.263425,-20.454959,targeted_intervention,0.130656,0.0,0.22
0.167508,22,0.795784,47.716274,16.501407,15.695998,-25.025002,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,25.830411,-20.454959,intensive_review,0.110555,4.570043,0.34
0.279334,23,0.835903,79.918075,0.0,51.35836,-51.35836,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-40.699382,monitor_only,0.279334,10.658978,0.0
0.279334,23,0.835903,77.320859,17.527968,46.222524,-43.625307,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,14.930751,-40.699382,light_touch_support,0.251401,2.925925,0.1
0.279334,23,0.835903,80.557936,27.088678,40.059521,-40.699382,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,27.728538,-40.699382,targeted_intervention,0.217881,0.0,0.22
0.279334,23,0.835903,93.38081,33.462484,33.896518,-47.359252,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,46.925219,-40.699382,intensive_review,0.18436,6.65987,0.34
0.451146,24,0.900281,77.398355,0.0,68.366984,-68.366984,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-15.560693,monitor_only,0.451146,52.806291,0.0
0.451146,24,0.900281,49.386342,47.396531,61.530285,-33.518272,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,19.384518,-15.560693,light_touch_support,0.406031,17.957579,0.1
0.451146,24,0.900281,40.14899,73.249184,53.326247,-16.076882,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,35.999818,-15.560693,targeted_intervention,0.351894,0.516189,0.22
0.451146,24,0.900281,47.836839,90.484286,45.122209,-15.560693,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,60.92277,-15.560693,intensive_review,0.297756,0.0,0.34
0.166703,25,0.803381,38.526695,0.0,23.655152,-23.655152,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-23.655152,monitor_only,0.166703,0.0,0.0
0.166703,25,0.803381,41.837546,9.269368,21.289636,-24.600488,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.580219,-23.655152,light_touch_support,0.150033,0.945336,0.1
0.166703,25,0.803381,47.564573,14.325387,18.451018,-27.488896,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.363265,-23.655152,targeted_intervention,0.130028,3.833744,0.22
0.166703,25,0.803381,60.368461,17.696066,15.6124,-37.454167,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,39.537832,-23.655152,intensive_review,0.110024,13.799015,0.34
0.47033,26,0.820978,120.059398,0.0,98.352539,-98.352539,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-29.798817,monitor_only,0.47033,68.553722,0.0
0.47033,26,0.820978,94.823769,35.823736,88.517285,-63.281656,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,10.588108,-29.798817,light_touch_support,0.423297,33.482839,0.1
0.47033,26,0.820978,84.35907,55.363956,76.71498,-41.014653,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,19.663628,-29.798817,targeted_intervention,0.366857,11.215836,0.22
0.47033,26,0.820978,84.945539,68.390769,64.912676,-29.798817,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,33.27691,-29.798817,intensive_review,0.310418,0.0,0.34
0.259029,27,0.81716,70.935746,0.0,61.990909,-61.990909,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-52.73081,monitor_only,0.259029,9.260099,0.0
0.259029,27,0.81716,70.66105,15.682494,55.791818,-55.517122,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,15.407799,-52.73081,light_touch_support,0.233126,2.786312,0.1
0.259029,27,0.81716,75.313647,24.236582,48.352909,-52.73081,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,28.614484,-52.73081,targeted_intervention,0.202043,0.0,0.22
0.259029,27,0.81716,89.420949,29.939308,40.914,-59.399203,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,48.424511,-52.73081,intensive_review,0.170959,6.668393,0.34
0.593802,28,0.790311,106.312762,0.0,89.101571,-89.101571,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-21.205244,monitor_only,0.593802,67.896327,0.0
0.593802,28,0.790311,76.579856,45.263423,80.191414,-50.458508,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,15.530517,-21.205244,light_touch_support,0.534422,29.253264,0.1
0.593802,28,0.790311,65.202588,69.952562,69.499226,-28.389052,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,28.842388,-21.205244,targeted_intervention,0.463166,7.183808,0.22
0.593802,28,0.790311,68.710969,86.411989,58.807037,-21.205244,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,48.810196,-21.205244,intensive_review,0.391909,0.0,0.34
0.540055,29,0.861746,90.98723,0.0,77.747219,-77.747219,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-4.535102,monitor_only,0.540055,73.212117,0.0
0.540055,29,0.861746,58.235473,45.515942,69.972497,-37.22074,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.764184,-4.535102,light_touch_support,0.486049,32.685638,0.1
0.540055,29,0.861746,44.349325,70.342819,60.642831,-14.004926,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.704914,-4.535102,targeted_intervention,0.421243,9.469824,0.22
0.540055,29,0.861746,44.209167,86.89407,51.313165,-4.535102,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,40.116008,-4.535102,intensive_review,0.356436,0.0,0.34
0.605827,30,0.707904,190.570948,0.0,146.303078,-146.303078,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-25.708057,monitor_only,0.605827,120.595021,0.0
0.605827,30,0.707904,147.108279,53.288042,131.67277,-88.210101,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,9.825373,-25.708057,light_touch_support,0.545244,62.502044,0.1
0.605827,30,0.707904,126.463822,82.354247,114.116401,-50.009275,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,18.24712,-25.708057,targeted_intervention,0.472545,24.301218,0.22
0.605827,30,0.707904,119.718974,101.731716,96.560031,-25.708057,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,30.879742,-25.708057,intensive_review,0.399846,0.0,0.34
0.606741,31,0.879221,159.095456,0.0,130.166435,-130.166435,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-8.323134,monitor_only,0.606741,121.843301,0.0
0.606741,31,0.879221,110.992158,59.650748,117.149791,-69.046494,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,11.547451,-8.323134,light_touch_support,0.546067,60.72336,0.1
0.606741,31,0.879221,88.353201,92.18752,101.529819,-30.787565,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,21.445265,-8.323134,targeted_intervention,0.473258,22.464431,0.22
0.606741,31,0.879221,81.508742,113.878701,85.909847,-8.323134,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,36.291988,-8.323134,intensive_review,0.400449,0.0,0.34
0.470614,32,0.777172,142.063827,0.0,110.14497,-110.14497,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-69.072992,monitor_only,0.470614,41.071978,0.0
0.470614,32,0.777172,128.898713,30.600113,99.130473,-85.965359,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,17.434999,-69.072992,light_touch_support,0.423553,16.892367,0.1
0.470614,32,0.777172,127.152026,47.291084,85.913077,-71.001276,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,32.379283,-69.072992,targeted_intervention,0.367079,1.928284,0.22
0.470614,32,0.777172,138.441139,58.418398,72.69568,-69.072992,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,54.79571,-69.072992,intensive_review,0.310605,0.0,0.34
0.26933,33,0.833607,76.600729,0.0,57.466496,-57.466496,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-41.125181,monitor_only,0.26933,16.341315,0.0
0.26933,33,0.833607,71.655129,17.600918,51.719846,-46.774246,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,12.655318,-41.125181,light_touch_support,0.242397,5.649065,0.1
0.26933,33,0.833607,72.902043,27.201419,44.823867,-41.125181,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,23.502733,-41.125181,targeted_intervention,0.210077,0.0,0.22
0.26933,33,0.833607,82.772833,33.601752,37.927887,-44.099991,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,39.773856,-41.125181,intensive_review,0.177758,2.97481,0.34
0.475889,34,0.723561,113.141114,0.0,85.674706,-85.674706,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-32.911357,monitor_only,0.475889,52.763349,0.0
0.475889,34,0.723561,91.939809,34.851597,77.107235,-55.90593,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,13.650292,-32.911357,light_touch_support,0.4283,22.994573,0.1
0.475889,34,0.723561,84.630097,53.861559,66.826271,-38.315254,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,25.350543,-32.911357,targeted_intervention,0.371193,5.403897,0.22
0.475889,34,0.723561,89.507165,66.534868,56.545306,-32.911357,very_high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,42.900919,-32.911357,intensive_review,0.314087,0.0,0.34
0.580206,35,0.798142,200.102667,0.0,164.120671,-164.120671,low,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,0.0,-86.412887,monitor_only,0.580206,77.707784,0.0
0.580206,35,0.798142,178.718205,36.7181,147.708604,-126.324142,moderate,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,15.333639,-86.412887,light_touch_support,0.522185,39.911255,0.1
0.580206,35,0.798142,171.833269,56.746155,128.014123,-99.744726,high,Expected value is conditional on synthetic assumptions and is not a complete ethical decision rule.,28.476757,-86.412887,targeted_intervention,0.452561,13.331839,0.22
