baseline_risk,best_expected_net_value,case_id,confidence_score,decision,recommended_option,review_note,threshold_rule
0.254071,-13.637539,19,0.717051,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.431676,-7.981387,20,0.831825,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.838934,-21.129935,21,0.811025,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.167508,-20.454959,22,0.795784,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.279334,-40.699382,23,0.835903,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.451146,-15.560693,24,0.900281,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.166703,-23.655152,25,0.803381,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.47033,-29.798817,26,0.820978,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.259029,-52.73081,27,0.81716,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.593802,-21.205244,28,0.790311,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.540055,-4.535102,29,0.861746,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.605827,-25.708057,30,0.707904,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.606741,-8.323134,31,0.879221,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.470614,-69.072992,32,0.777172,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.26933,-41.125181,33,0.833607,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.475889,-32.911357,34,0.723561,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.580206,-86.412887,35,0.798142,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.264623,-21.869533,36,0.837714,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.306939,-13.204323,37,0.760373,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.284091,-40.299586,38,0.808959,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.55933,-8.96918,39,0.814125,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.399249,-33.308881,40,0.721683,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.136566,-12.726548,41,0.85215,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.248685,-19.307519,42,0.822238,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.605856,37.645827,43,0.881662,act_with_review,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.440569,-42.669023,44,0.724545,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.349273,-28.153458,45,0.703443,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.1319,-19.652482,46,0.877934,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.48055,-47.732607,47,0.898593,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.341447,-27.836606,48,0.738347,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.497891,-32.876401,49,0.72518,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.618102,-30.306258,50,0.751278,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.433211,-11.348343,51,0.859548,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.257394,-42.105494,52,0.741524,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.30049,-23.351442,53,0.710436,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.536216,-30.580273,54,0.839091,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.207879,-38.920898,55,0.734805,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.710633,-31.970953,56,0.835714,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.218763,-42.068064,57,0.62904,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.473915,-34.694692,58,0.761154,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.256934,-21.251385,59,0.865853,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.400187,-35.759379,60,0.845045,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.177893,-23.244691,61,0.59881,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.465913,-30.786356,62,0.674941,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.463656,-44.244528,63,0.870885,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.213398,-12.186951,64,0.7606,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.218669,-32.621263,65,0.751508,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.316928,-22.719082,66,0.88004,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.517472,-36.442411,67,0.796534,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.392544,-29.205714,68,0.735038,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.353157,-21.736255,69,0.741133,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.31364,-27.903959,70,0.764621,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.444364,-1.98792,71,0.745309,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.264675,-25.646079,72,0.719195,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.378414,-38.980186,73,0.81593,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.307114,-35.623037,74,0.872148,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.356307,-29.387433,75,0.760612,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.172548,-13.355719,76,0.845381,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.485297,-61.215085,77,0.770746,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.27688,-43.735262,78,0.809516,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.70489,-44.590117,79,0.682673,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.304981,-33.89692,80,0.824491,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.25415,-32.124881,81,0.779932,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.533056,-23.659969,82,0.764805,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.525313,-8.202174,83,0.765421,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.485017,-45.573333,84,0.735224,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.397145,-32.10699,85,0.75151,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.588541,-30.3076,86,0.738382,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.328159,-31.187489,87,0.709643,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.629826,-5.291225,88,0.693378,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.413525,-32.081858,89,0.755198,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.258913,-10.213889,90,0.918214,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.417088,-42.817698,91,0.698316,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.196619,-15.129925,92,0.612276,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.498265,-30.700969,93,0.779525,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.705664,-55.615517,94,0.810387,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.554133,-84.188964,95,0.79649,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.372703,-38.008313,96,0.78508,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.312711,-31.794642,97,0.836762,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.729282,-5.644669,98,0.767292,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.3893,-11.686124,99,0.845335,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.057058,-8.876531,100,0.773212,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.620644,-44.751212,101,0.852322,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.120518,-21.55035,102,0.715784,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.393151,-46.019809,103,0.843235,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.240545,-18.109654,104,0.781144,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.466307,-15.59878,105,0.714964,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.246889,-24.020031,106,0.861966,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.701413,-13.000932,107,0.806407,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.397988,-8.124554,108,0.808031,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.48893,-86.687765,109,0.799058,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.240294,-25.693878,110,0.776681,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.695326,-40.178298,111,0.720383,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.419763,-48.276603,112,0.700186,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.511351,-27.942921,113,0.701208,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.170201,-26.822789,114,0.615171,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.057717,-5.296661,115,0.737455,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.221492,-41.201961,116,0.779897,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.419125,-36.935731,117,0.658793,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.362431,-20.659365,118,0.714768,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.533844,-26.666566,119,0.762987,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.420626,-29.080349,120,0.876451,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.32957,-35.520157,121,0.810959,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.072522,-7.598942,122,0.800324,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.262247,-49.075454,123,0.7939,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.255037,-32.524878,124,0.820779,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.2701,-8.931655,125,0.904736,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.208157,-25.644429,126,0.803319,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.259138,-39.401791,127,0.811464,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.084723,-11.653046,128,0.763469,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.235391,-18.730979,129,0.860243,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.324902,-30.862393,130,0.69041,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.654169,-87.446807,131,0.726542,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.090539,-17.572807,132,0.734439,defer_or_monitor,monitor_only,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.46262,-29.166031,133,0.688605,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.586521,-2.97614,134,0.863059,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.515137,-28.648564,135,0.686562,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.692902,-8.929543,136,0.76908,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.320715,-27.448,137,0.799908,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.617515,-43.140781,138,0.746926,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.502458,-11.047344,139,0.642785,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.421489,11.359523,140,0.796148,act_with_review,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.440275,-23.61103,141,0.726345,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.32736,-15.946926,142,0.728533,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.164891,-12.774336,143,0.689868,defer_or_monitor,light_touch_support,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.372059,-30.630953,144,0.734503,defer_or_monitor,targeted_intervention,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.638826,-2.003315,145,0.845702,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.867598,-48.634205,146,0.685502,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.50335,1.572048,147,0.93489,act_with_review,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.531544,-61.155032,148,0.72162,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.490009,-23.204364,149,0.85218,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
0.340856,-39.717981,150,0.723958,defer_or_monitor,intensive_review,"Threshold rules must be justified by governance, not only optimized numerically.","act if expected net value exceeds action threshold, risk is moderate/high, and confidence is adequate"
