application_completeness,delay_days,engagement_count,group,interpretation,label_disagrees_with_construct,latent_need,observed_label,prior_access,prior_access_missing,proxy_score,true_construct_positive,unit_id
0.591952,21.703211,9.055431,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.544042,1,0.662674,0,0.817494,0,23
0.370364,10.122722,7.219986,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.09678,1,,1,0.64785,0,24
0.75471,16.198225,8.540503,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.499091,1,0.472424,0,0.810673,0,25
0.702543,13.04106,9.111641,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.213151,1,0.723897,0,0.768176,0,26
0.630055,16.16324,11.602086,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.396696,1,0.536958,0,0.854838,0,27
0.751246,31.453372,5.465767,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.70148,1,0.340118,0,0.848728,1,28
0.70648,11.413557,6.746577,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.172073,1,0.576802,0,0.698209,0,29
0.6547,8.559912,7.996763,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.472467,1,0.741459,0,0.680754,0,30
0.555712,20.999339,7.157,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.532533,1,,1,0.78306,0,31
0.783184,21.844909,5.332384,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.526018,0,,1,0.780494,0,32
0.842979,14.645976,3.348978,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.380139,1,0.137228,0,0.700084,0,33
1.0,16.403957,9.334547,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.457592,1,0.474389,0,0.863783,0,34
0.68767,18.945823,9.684129,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.407642,1,,1,0.849933,0,35
0.850059,29.163123,5.454678,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.730964,1,0.449288,0,0.83998,1,36
0.61928,18.175774,6.77184,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.601705,1,,1,0.761632,1,37
0.5572,19.422178,6.254124,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.500948,1,0.415423,0,0.742779,0,38
0.673328,25.217904,4.840618,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.476975,1,0.635729,0,0.747413,0,39
0.583801,19.814554,7.374284,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.549204,1,0.523112,0,0.772181,0,40
0.42717,13.53148,4.704517,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.302703,1,0.578311,0,0.577661,0,41
0.903984,15.097665,7.602484,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.375475,1,0.608928,0,0.790778,0,42
1.0,20.552678,4.270797,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.286379,1,0.782229,0,0.73863,0,43
0.583272,11.732023,10.319311,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.232513,1,0.584726,0,0.784254,0,44
0.502232,19.373482,11.738014,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.32501,1,0.555871,0,0.857382,0,45
0.600549,23.432499,6.186743,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.715838,1,0.190285,0,0.803884,1,46
0.621714,26.667605,5.244678,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.719309,1,0.68378,0,0.756157,1,47
0.879138,28.752382,8.578874,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.640389,1,0.426823,0,0.898756,1,48
0.805406,9.821433,7.879318,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.256478,1,0.384943,0,0.762668,0,49
0.502196,27.044325,6.446085,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.767549,1,0.431525,0,0.796856,1,50
0.705803,17.960354,6.133011,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.495564,1,0.567933,0,0.738817,0,51
0.585698,25.662209,6.707032,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.512533,0,,1,0.810446,0,52
0.761481,25.132303,3.727023,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.829424,1,0.794821,0,0.710937,1,53
0.4132,17.299931,6.362484,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.493325,1,0.464925,0,0.690274,0,54
0.825757,19.316981,10.018224,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.626993,1,,1,0.875362,1,55
0.767352,0.391994,13.553949,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.151096,1,0.867616,0,0.789418,0,56
0.890558,17.792301,4.534252,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.777546,1,0.515575,0,0.731427,1,57
0.702448,30.291921,6.926758,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.435533,1,0.625052,0,0.843428,0,58
1.0,15.940456,8.825739,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.563751,1,0.757296,0,0.828504,1,59
0.639517,16.724703,7.680731,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.67708,1,0.58917,0,0.759423,1,60
0.618381,15.367309,7.479687,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.110477,1,0.697001,0,0.724995,0,61
0.701395,29.727738,7.454717,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.719215,1,0.614382,0,0.851743,1,62
0.642398,25.715975,4.746308,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.631975,1,0.138216,0,0.79547,1,63
0.715898,24.063826,10.480195,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.424463,1,,1,0.892965,0,64
0.846532,8.405288,7.55944,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.381294,1,,1,0.747742,0,65
0.689017,13.717619,5.19761,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.314807,1,0.669697,0,0.650346,0,66
0.742009,6.960056,12.964944,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.0,1,0.572761,0,0.841982,0,67
0.85234,22.790251,4.102588,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.665961,1,,1,0.766192,1,68
1.0,10.941612,7.537002,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.268039,1,,1,0.795482,0,69
0.652072,6.339545,5.293682,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.330267,1,0.686046,0,0.563485,0,70
0.809552,15.41253,6.055937,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.410112,1,0.42583,0,0.751578,0,71
0.88575,10.352189,13.485465,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.352446,1,0.705545,0,0.878706,0,72
0.854525,18.426672,7.404774,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.704438,1,0.50914,0,0.810879,1,73
0.779006,14.08876,7.358299,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.291445,1,0.438068,0,0.771436,0,74
0.540442,21.695144,0.930493,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.506307,1,0.380882,0,0.577885,0,75
0.807607,3.627813,7.01392,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.379679,1,,1,0.677753,0,76
0.741721,20.801205,7.305814,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.564151,1,0.510134,0,0.806544,1,77
0.621942,22.834121,8.397453,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.498179,1,0.705038,0,0.810174,0,78
0.689525,27.306198,7.084567,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.663441,1,0.505641,0,0.83657,1,79
0.864972,24.806945,7.271516,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.371539,1,0.73906,0,0.831254,0,80
0.672804,32.689968,8.432773,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.61836,1,0.524566,0,0.887154,1,81
0.693053,12.394628,4.075577,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.30852,1,0.886563,0,0.563559,0,82
0.845581,9.937092,9.970163,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.172757,1,,1,0.823502,0,83
0.660855,26.04351,10.209074,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.717525,1,0.252197,0,0.900069,1,84
0.729447,7.833972,7.160228,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.366023,1,0.502296,0,0.692686,0,85
0.883422,16.337573,4.964656,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.458308,1,0.576029,0,0.723424,0,86
0.916544,15.065442,6.713016,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.387537,1,0.401515,0,0.789762,0,87
0.929184,19.578469,8.856776,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.499921,1,,1,0.868042,0,88
0.603922,19.091076,4.600731,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.589635,1,0.445985,0,0.692481,1,89
0.707513,33.95436,9.006579,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.574196,0,0.624514,0,0.899092,1,90
0.597944,22.966113,10.716934,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.778057,1,0.771168,0,0.853626,1,91
0.840204,13.044699,9.61971,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.309985,1,0.639037,0,0.81381,0,92
0.674547,25.091824,6.431542,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.145719,0,0.645107,0,0.79074,0,93
0.621232,16.708749,9.162049,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.466305,1,0.659571,0,0.789908,0,94
0.691476,12.39264,8.335536,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.28571,1,,1,0.773364,0,95
0.902159,16.29842,8.859195,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.438774,1,,1,0.846598,0,96
0.739832,18.139388,9.351652,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.168829,1,0.680774,0,0.822137,0,97
0.761972,13.203886,7.476153,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.103736,1,0.776207,0,0.726056,0,98
0.583231,29.802974,12.625519,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.314356,1,0.574122,0,0.922666,0,99
0.654783,22.219851,7.8714,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.651696,0,0.378444,0,0.827751,1,100
0.67862,15.540926,5.364547,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.596205,0,0.693991,0,0.669035,1,101
0.753428,13.902741,7.605054,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.196466,0,0.599118,0,0.754741,0,102
0.627493,21.233234,4.660073,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.625413,1,0.521114,0,0.710396,1,103
1.0,22.039891,11.680873,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.201609,1,0.730501,0,0.910718,0,104
0.507609,21.629155,4.831921,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.603512,1,,1,0.708768,1,105
0.547023,15.993171,7.300234,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.327494,1,0.4725,0,0.736645,0,106
0.764496,17.809058,5.619354,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.420343,1,0.400832,0,0.752637,0,107
0.691709,16.117573,8.634399,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.0,1,0.846484,0,0.764083,0,108
0.529853,18.6625,3.824794,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.532574,1,,1,0.649792,0,109
0.615211,16.221263,8.628953,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.285657,1,,1,0.796824,0,110
0.585742,20.772735,8.770014,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.357252,1,0.558574,0,0.812732,0,111
0.690784,16.907906,5.757169,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.570139,1,,1,0.734452,1,112
0.959562,13.67678,8.53497,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.364723,1,0.589635,0,0.815298,0,113
0.472325,29.380025,6.286303,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.604711,1,0.20715,0,0.82485,1,114
0.612904,18.807148,9.367081,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.740076,1,,1,0.831823,1,115
0.893342,17.686516,8.67409,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.249274,1,0.915645,0,0.80571,0,116
0.762256,12.439497,7.400982,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.399683,1,0.564126,0,0.741892,0,117
0.861072,8.180659,4.868991,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.377278,1,0.387176,0,0.661277,0,118
0.741476,24.85233,4.104489,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.556867,1,0.168169,0,0.786293,1,119
0.575189,22.115644,4.452944,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.682452,1,0.634485,0,0.685881,1,120
0.61404,20.255202,5.991789,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.498009,0,,1,0.754899,0,121
0.835531,24.16833,7.755847,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.517984,1,0.462579,0,0.855483,0,122
0.614286,28.692666,6.887914,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.616815,1,,1,0.838653,1,123
0.85962,15.189421,10.130997,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.639827,1,0.679224,0,0.83883,1,124
0.778809,33.662201,3.440159,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.481901,1,0.568164,0,0.800923,0,125
0.337351,31.357637,10.00085,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.686026,0,0.800776,0,0.850049,1,126
0.861167,17.451552,6.693778,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.0,1,0.610121,0,0.776342,0,127
0.533112,12.473005,11.764787,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.54243,1,0.725732,0,0.805022,0,128
0.541479,14.685345,6.969876,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.363395,1,0.418233,0,0.719833,0,129
0.633476,17.269989,4.555968,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.64755,1,,1,0.68595,1,130
0.953464,17.365608,6.489532,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.275589,1,0.468758,0,0.800538,0,131
0.855985,12.981468,9.694393,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.266649,1,0.539951,0,0.826365,0,132
0.981153,15.822376,4.506153,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.43971,1,0.352976,0,0.750525,0,133
0.506336,23.705969,7.754778,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.359762,1,0.440715,0,0.806083,0,134
0.518602,19.155374,6.462385,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.468382,1,0.333399,0,0.748469,0,135
0.678051,24.984038,6.40712,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.084317,1,0.718112,0,0.782536,0,136
0.542867,22.629718,9.755812,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.541808,1,,1,0.853119,0,137
0.582321,28.393438,4.052948,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.936074,1,0.471574,0,0.751134,1,138
0.715724,35.442148,5.761974,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.602263,0,0.451393,0,0.863832,1,139
0.951853,32.676257,4.858555,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.499399,0,0.465975,0,0.860285,0,140
0.533078,17.347666,2.031792,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.926284,0,0.386516,0,0.570417,1,141
0.674985,23.815961,7.321758,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.59898,1,0.603556,0,0.808424,1,142
0.511523,26.846656,5.997706,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.646137,1,0.257945,0,0.802194,1,143
0.525038,30.538794,5.435202,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.464062,0,0.189968,0,0.82218,0,144
0.758548,22.079493,6.899509,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.414821,1,0.557354,0,0.803697,0,145
0.66988,14.786979,8.730992,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.346721,1,0.614594,0,0.776778,0,146
0.73841,13.748293,7.353676,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.675006,1,0.458622,0,0.758673,1,147
0.865169,16.182039,10.593638,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.512559,1,0.541723,0,0.864896,0,148
0.523975,23.287619,0.0,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,1.0,1,0.365967,0,0.556887,1,149
0.454711,24.489243,7.810146,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.549286,1,0.779658,0,0.770527,0,150
0.723621,17.755033,9.253319,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.664898,1,0.919037,0,0.792142,1,151
0.426496,27.743528,6.557017,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.626654,1,0.593274,0,0.775466,1,152
0.670694,14.877567,7.200598,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.357361,1,0.726992,0,0.719023,0,153
0.939274,6.730049,9.583559,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.280218,1,1.0,0,0.745064,0,154
0.661227,28.528487,8.875344,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.576416,1,0.684643,0,0.862634,1,155
0.917011,10.719922,4.472064,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.423478,1,0.542328,0,0.664941,0,156
0.588754,24.053314,8.929307,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.296955,1,0.472554,0,0.844979,0,157
0.910612,30.028417,10.689121,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.350197,1,0.863889,0,0.912882,0,158
0.87742,15.030348,6.984533,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.170629,1,0.607704,0,0.768624,0,159
0.550714,19.253596,8.951294,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.359654,0,0.402885,0,0.815347,0,160
0.655718,19.763047,4.60934,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.494334,1,0.544783,0,0.698142,0,161
0.681613,20.130846,1.076829,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.549549,0,,1,0.599618,0,162
0.647469,14.387061,8.005424,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.426108,0,0.707424,0,0.737628,0,163
0.721013,23.567186,7.00126,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.724692,1,,1,0.824594,1,164
0.314398,18.650025,5.916581,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.823333,0,0.319904,0,0.684403,1,165
0.758117,19.669115,7.225883,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.56313,1,0.451587,0,0.804761,1,166
0.945415,26.068991,7.235481,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.627963,1,0.653348,0,0.855877,1,167
0.726388,2.691552,7.45322,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.123665,1,,1,0.665153,0,168
0.634675,21.343519,6.514704,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.774365,0,0.796547,0,0.739099,1,169
0.653992,25.518056,6.711743,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.569591,0,,1,0.820374,1,170
0.861724,8.514499,12.217696,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.291717,0,0.782584,0,0.835242,0,171
0.878087,17.110767,8.983259,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.455769,1,0.515831,0,0.841549,0,172
0.416251,18.602676,9.197354,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.563978,0,,1,0.79507,1,173
0.922648,10.521294,8.779691,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.0,0,0.730914,0,0.778758,0,174
0.762165,15.230344,7.160563,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.482079,1,0.672973,0,0.746029,0,175
0.849014,22.687417,6.525187,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.573634,1,,1,0.827274,1,176
0.749138,12.066945,7.43119,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.152427,1,0.522013,0,0.741809,0,177
0.999814,27.097933,11.497282,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.586802,1,,1,0.938126,1,178
0.843852,12.319708,10.010092,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.454455,1,,1,0.839167,0,179
1.0,13.494514,6.06963,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.147359,1,0.71064,0,0.741161,0,180
0.745912,32.783433,9.062091,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.781243,1,,1,0.910389,1,181
0.806966,6.672642,6.835911,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.0,1,,1,0.700846,0,182
0.691877,18.241695,10.621653,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.588979,1,0.602049,0,0.850125,1,183
0.607559,17.50367,9.06391,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.258554,1,,1,0.815451,0,184
0.46282,27.472577,6.673456,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.506769,0,,1,0.802181,0,185
0.757934,27.81986,8.756781,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.551569,1,0.660821,0,0.870154,1,186
0.672827,23.479343,6.81641,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.397239,1,0.263929,0,0.824235,0,187
0.967567,25.973842,7.80711,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.48015,0,,1,0.88533,0,188
0.905137,19.380322,8.787708,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.290239,1,0.516451,0,0.854292,0,189
0.810784,19.251459,5.394393,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.711213,1,,1,0.766874,1,190
0.817933,7.985156,9.413473,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.226298,0,,1,0.791554,0,191
0.741828,9.797334,9.76703,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.435067,1,0.593663,0,0.781824,0,192
0.829372,16.418283,6.75073,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.479042,1,0.713841,0,0.752404,0,193
0.849478,15.87207,2.432303,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.317046,1,0.673295,0,0.608589,0,194
0.818293,17.104026,2.954936,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.040114,1,0.554006,0,0.650054,0,195
0.587188,28.510933,8.514746,B,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.628039,1,0.660531,0,0.847559,1,196
0.903406,25.183126,8.709038,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.226874,1,0.639801,0,0.874504,0,197
0.828573,21.472081,9.862968,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.465027,0,0.712931,0,0.862542,0,198
0.50807,22.952493,9.997089,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",0,0.559647,1,0.771259,0,0.825363,1,199
0.725579,14.998249,10.193667,A,"Synthetic record for teaching feature, label, proxy, and measurement audits.",1,0.438483,1,0.608223,0,0.825322,0,200
