absolute_error,batch,decision,estimate,experiment_name,interpretation,interval_lower,interval_upper,sample_size,seed,standard_error,threshold,true_probability
0.01,14,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27040,0.099277,0.6,0.57
0.01,15,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27041,0.099277,0.6,0.57
0.01,16,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27042,0.099277,0.6,0.57
0.13,17,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27043,0.099277,0.6,0.57
0.09,18,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27044,0.09992,0.6,0.57
0.03,19,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27045,0.09798,0.6,0.57
0.17,20,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27046,0.09798,0.6,0.57
0.15,21,1,0.72,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.543992,0.896008,25,27047,0.0898,0.6,0.57
0.05,22,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27048,0.09992,0.6,0.57
0.09,23,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27049,0.09992,0.6,0.57
0.11,24,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27050,0.093295,0.6,0.57
0.07,25,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27051,0.096,0.6,0.57
0.07,26,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27052,0.096,0.6,0.57
0.11,27,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27053,0.093295,0.6,0.57
0.11,28,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27054,0.093295,0.6,0.57
0.07,29,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27055,0.096,0.6,0.57
0.03,30,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27056,0.09798,0.6,0.57
0.01,31,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27057,0.099277,0.6,0.57
0.07,32,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27058,0.096,0.6,0.57
0.11,33,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27059,0.093295,0.6,0.57
0.01,34,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27060,0.099277,0.6,0.57
0.17,35,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27061,0.09798,0.6,0.57
0.17,36,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27062,0.09798,0.6,0.57
0.11,37,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27063,0.093295,0.6,0.57
0.15,38,1,0.72,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.543992,0.896008,25,27064,0.0898,0.6,0.57
0.11,39,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27065,0.093295,0.6,0.57
0.03,40,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27066,0.09798,0.6,0.57
0.11,41,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27067,0.093295,0.6,0.57
0.11,42,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27068,0.093295,0.6,0.57
0.01,43,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27069,0.099277,0.6,0.57
0.19,44,1,0.76,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.592583,0.927417,25,27070,0.085417,0.6,0.57
0.07,45,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27071,0.096,0.6,0.57
0.01,46,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27072,0.099277,0.6,0.57
0.01,47,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27073,0.099277,0.6,0.57
0.13,48,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27074,0.099277,0.6,0.57
0.05,49,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27075,0.09992,0.6,0.57
0.01,50,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27076,0.099277,0.6,0.57
0.07,51,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27077,0.096,0.6,0.57
0.05,52,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27078,0.09992,0.6,0.57
0.01,53,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27079,0.099277,0.6,0.57
0.05,54,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27080,0.09992,0.6,0.57
0.09,55,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27081,0.09992,0.6,0.57
0.11,56,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27082,0.093295,0.6,0.57
0.03,57,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27083,0.09798,0.6,0.57
0.11,58,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27084,0.093295,0.6,0.57
0.05,59,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27085,0.09992,0.6,0.57
0.03,60,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27086,0.09798,0.6,0.57
0.19,61,1,0.76,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.592583,0.927417,25,27087,0.085417,0.6,0.57
0.05,62,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27088,0.09992,0.6,0.57
0.13,63,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27089,0.099277,0.6,0.57
0.03,64,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27090,0.09798,0.6,0.57
0.03,65,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27091,0.09798,0.6,0.57
0.03,66,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27092,0.09798,0.6,0.57
0.07,67,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27093,0.096,0.6,0.57
0.01,68,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27094,0.099277,0.6,0.57
0.11,69,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27095,0.093295,0.6,0.57
0.13,70,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27096,0.099277,0.6,0.57
0.01,71,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27097,0.099277,0.6,0.57
0.03,72,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27098,0.09798,0.6,0.57
0.15,73,1,0.72,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.543992,0.896008,25,27099,0.0898,0.6,0.57
0.07,74,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27100,0.096,0.6,0.57
0.03,75,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27101,0.09798,0.6,0.57
0.07,76,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27102,0.096,0.6,0.57
0.07,77,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27103,0.096,0.6,0.57
0.07,78,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27104,0.096,0.6,0.57
0.07,79,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27105,0.096,0.6,0.57
0.09,80,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27106,0.09992,0.6,0.57
0.13,81,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27107,0.099277,0.6,0.57
0.03,82,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27108,0.09798,0.6,0.57
0.05,83,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27109,0.09992,0.6,0.57
0.03,84,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27110,0.09798,0.6,0.57
0.01,85,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27111,0.099277,0.6,0.57
0.07,86,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27112,0.096,0.6,0.57
0.09,87,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27113,0.09992,0.6,0.57
0.05,88,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27114,0.09992,0.6,0.57
0.01,89,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27115,0.099277,0.6,0.57
0.03,90,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27116,0.09798,0.6,0.57
0.13,91,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27117,0.099277,0.6,0.57
0.01,92,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27118,0.099277,0.6,0.57
0.13,93,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27119,0.099277,0.6,0.57
0.25,94,0,0.32,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.137141,0.502859,25,27120,0.093295,0.6,0.57
0.09,95,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27121,0.09992,0.6,0.57
0.11,96,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27122,0.093295,0.6,0.57
0.05,97,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27123,0.09992,0.6,0.57
0.03,98,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27124,0.09798,0.6,0.57
0.07,99,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27125,0.096,0.6,0.57
0.05,100,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27126,0.09992,0.6,0.57
0.05,101,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27127,0.09992,0.6,0.57
0.05,102,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27128,0.09992,0.6,0.57
0.09,103,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27129,0.09992,0.6,0.57
0.17,104,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27130,0.09798,0.6,0.57
0.01,105,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27131,0.099277,0.6,0.57
0.11,106,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27132,0.093295,0.6,0.57
0.05,107,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27133,0.09992,0.6,0.57
0.01,108,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27134,0.099277,0.6,0.57
0.07,109,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27135,0.096,0.6,0.57
0.11,110,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27136,0.093295,0.6,0.57
0.05,111,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27137,0.09992,0.6,0.57
0.05,112,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27138,0.09992,0.6,0.57
0.07,113,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27139,0.096,0.6,0.57
0.01,114,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27140,0.099277,0.6,0.57
0.17,115,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27141,0.09798,0.6,0.57
0.09,116,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27142,0.09992,0.6,0.57
0.03,117,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27143,0.09798,0.6,0.57
0.07,118,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27144,0.096,0.6,0.57
0.03,119,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27145,0.09798,0.6,0.57
0.13,120,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27146,0.099277,0.6,0.57
0.11,121,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27147,0.093295,0.6,0.57
0.11,122,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27148,0.093295,0.6,0.57
0.17,123,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27149,0.09798,0.6,0.57
0.05,124,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27150,0.09992,0.6,0.57
0.01,125,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27151,0.099277,0.6,0.57
0.01,126,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27152,0.099277,0.6,0.57
0.17,127,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27153,0.09798,0.6,0.57
0.01,128,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27154,0.099277,0.6,0.57
0.07,129,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27155,0.096,0.6,0.57
0.13,130,0,0.44,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.245416,0.634584,25,27156,0.099277,0.6,0.57
0.03,131,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27157,0.09798,0.6,0.57
0.05,132,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27158,0.09992,0.6,0.57
0.01,133,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27159,0.099277,0.6,0.57
0.11,134,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27160,0.093295,0.6,0.57
0.09,135,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27161,0.09992,0.6,0.57
0.01,136,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27162,0.099277,0.6,0.57
0.11,137,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27163,0.093295,0.6,0.57
0.15,138,1,0.72,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.543992,0.896008,25,27164,0.0898,0.6,0.57
0.11,139,1,0.68,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.497141,0.862859,25,27165,0.093295,0.6,0.57
0.03,140,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27166,0.09798,0.6,0.57
0.01,141,0,0.56,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.365416,0.754584,25,27167,0.099277,0.6,0.57
0.05,142,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27168,0.09992,0.6,0.57
0.03,143,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27169,0.09798,0.6,0.57
0.09,144,0,0.48,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.284157,0.675843,25,27170,0.09992,0.6,0.57
0.03,145,1,0.6,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.40796,0.79204,25,27171,0.09798,0.6,0.57
0.07,146,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27172,0.096,0.6,0.57
0.17,147,0,0.4,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.20796,0.59204,25,27173,0.09798,0.6,0.57
0.07,148,1,0.64,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.45184,0.82816,25,27174,0.096,0.6,0.57
0.05,149,0,0.52,probabilistic_algorithms_reasoning_under_uncertainty,Repeated probabilistic estimates show how sample size affects error and threshold decisions.,0.324157,0.715843,25,27175,0.09992,0.6,0.57
