case_id,counterfactual_score,counterfactual_value,delta,interpretation,original_score,original_value,recommended_feature,recourse_cost
92,0.635439,0.899634,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.493906,0.499634,baseline_score,0.56
93,0.620242,0.803755,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.495769,0.453755,baseline_score,0.49
96,0.620665,0.900929,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.496218,0.550929,baseline_score,0.49
97,0.621887,0.865807,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.564037,0.665807,document_quality,0.15
101,0.621339,0.526137,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.604138,0.476137,baseline_score,0.07
105,0.629792,0.788684,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.487833,0.388684,baseline_score,0.56
108,0.627831,0.745318,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.570263,0.545318,document_quality,0.15
109,0.623966,0.290362,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.59542,0.190362,document_quality,0.075
111,0.632837,0.724028,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.491103,0.324028,baseline_score,0.56
112,0.629031,0.689689,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.556769,0.439689,document_quality,0.1875
120,0.630752,0.969304,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.616671,0.919304,document_quality,0.0375
125,0.623545,0.901664,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.521143,0.551664,document_quality,0.2625
127,0.62768,0.761489,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.555342,0.511489,document_quality,0.1875
130,0.621096,0.64616,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.548398,0.39616,document_quality,0.1875
138,0.62144,0.863068,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.518908,0.513068,document_quality,0.2625
139,0.622559,0.953373,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.498231,0.603373,baseline_score,0.49
145,0.621226,0.979874,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.496814,0.629874,baseline_score,0.49
153,0.632628,0.684385,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.5753,0.484385,document_quality,0.15
156,0.627015,0.618269,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.598552,0.518269,document_quality,0.075
161,0.62398,0.973663,0.3,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.536553,0.673663,document_quality,0.225
174,0.624566,0.716546,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.566841,0.516546,document_quality,0.15
189,0.626234,0.79066,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.524005,0.44066,document_quality,0.2625
195,0.635185,0.634857,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.493632,0.234857,baseline_score,0.56
200,0.630944,0.870793,0.15,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.588136,0.720793,document_quality,0.1125
204,0.630454,0.75926,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.573015,0.55926,document_quality,0.15
221,0.629304,0.83572,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.527281,0.48572,document_quality,0.2625
228,0.622914,0.903245,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.480493,0.503245,baseline_score,0.56
229,0.623804,0.692675,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.595253,0.592675,document_quality,0.075
234,0.622031,0.554905,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.604841,0.504905,baseline_score,0.07
251,0.624861,0.676526,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.56715,0.476526,document_quality,0.15
255,0.633835,0.889057,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.517169,0.489057,document_quality,0.3
261,0.628481,0.776913,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.556188,0.526913,document_quality,0.1875
264,0.6303,0.843988,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.558113,0.593988,document_quality,0.1875
273,0.623309,0.757928,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.480914,0.357928,baseline_score,0.56
276,0.625136,0.888731,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.552655,0.638731,document_quality,0.1875
282,0.628932,0.608178,0.3,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.541812,0.308178,document_quality,0.225
286,0.626403,0.673797,0.3,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.539124,0.373797,document_quality,0.225
287,0.622748,0.741915,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.498432,0.391915,baseline_score,0.49
291,0.624232,0.523995,0.15,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.581163,0.373995,document_quality,0.1125
293,0.626088,0.759468,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.483873,0.359468,baseline_score,0.56
295,0.624351,0.906473,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.522,0.556473,document_quality,0.2625
297,0.623029,0.725297,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.480616,0.325297,baseline_score,0.56
298,0.629367,0.990474,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.527348,0.640474,document_quality,0.2625
307,0.624986,0.73678,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.522676,0.38678,document_quality,0.2625
313,0.621492,0.377978,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.604293,0.327978,baseline_score,0.07
321,0.628661,0.458484,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.571133,0.258484,document_quality,0.15
324,0.623441,0.709609,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.594881,0.609609,document_quality,0.075
328,0.628378,0.441004,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.486319,0.041004,baseline_score,0.56
345,0.629745,0.943394,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.557524,0.693394,document_quality,0.1875
347,0.623748,0.815828,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.595196,0.715828,document_quality,0.075
355,0.629228,0.59432,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.571729,0.39432,document_quality,0.15
356,0.635602,0.761679,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.494082,0.361679,baseline_score,0.56
360,0.63274,0.830178,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.515992,0.430178,document_quality,0.3
363,0.630303,0.783654,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.616216,0.733654,document_quality,0.0375
366,0.624148,0.710367,0.4,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.481806,0.310367,baseline_score,0.56
369,0.621898,0.574025,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.564049,0.374025,document_quality,0.15
370,0.630057,0.969422,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.572599,0.769422,document_quality,0.15
373,0.620792,0.584907,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.562893,0.384907,document_quality,0.15
376,0.631565,0.669367,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.617497,0.619367,document_quality,0.0375
385,0.622069,0.543449,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.497709,0.193449,baseline_score,0.49
393,0.62223,0.8533,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.549592,0.6033,document_quality,0.1875
400,0.63303,0.700624,0.15,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.590307,0.550624,document_quality,0.1125
411,0.629623,0.718082,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.615525,0.668082,document_quality,0.0375
414,0.624607,0.805621,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.566884,0.605621,document_quality,0.15
418,0.628774,0.68724,0.35,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.526714,0.33724,document_quality,0.2625
422,0.629661,0.886909,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.557436,0.636909,document_quality,0.1875
434,0.629905,0.60604,0.25,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.557694,0.35604,document_quality,0.1875
456,0.628078,0.796813,0.3,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.540904,0.496813,document_quality,0.225
459,0.622467,0.722141,0.05,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.608267,0.672141,document_quality,0.0375
465,0.636856,0.677938,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.567522,0.477938,baseline_score,0.28
466,0.627158,0.789701,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.598698,0.689701,document_quality,0.075
476,0.630172,0.70323,0.2,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.572719,0.50323,document_quality,0.15
486,0.629406,0.652655,0.3,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.542316,0.352655,document_quality,0.225
496,0.624212,0.436581,0.1,Lowest-cost single-feature feasible counterfactual that flips the synthetic decision to favorable.,0.595672,0.336581,document_quality,0.075
