access_constraint,baseline_score,case_id,decision,decision_score,document_quality,interpretation,prior_flag,risk_adjustment,threshold,timeliness
0.0,0.543678,47,favorable,0.764891,0.669616,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.429804,0.62,0.564275
0.0,0.801175,48,favorable,0.878373,0.893954,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.89384,0.62,0.438819
0.0,0.31291,49,favorable,0.734766,0.523864,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.675744,0.62,0.831154
1.0,0.161839,50,unfavorable,0.309065,0.622642,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.424086,0.62,0.413027
0.0,0.480632,51,favorable,0.770087,0.736665,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.601726,0.62,0.496174
1.0,0.178201,52,unfavorable,0.273277,0.060616,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.370664,0.62,0.358682
1.0,0.463364,53,unfavorable,0.351469,0.467533,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.502934,0.62,0.28485
0.0,0.293572,54,review,0.593353,0.438231,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.453573,0.62,0.346028
0.0,0.55566,55,favorable,0.821345,0.909266,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.415773,0.62,0.624977
0.0,0.701081,56,favorable,0.75514,0.6423,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.46519,0.62,0.916291
0.0,0.730918,57,favorable,0.849305,0.571971,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.514477,0.62,1.0
1.0,0.333049,58,unfavorable,0.480338,0.533588,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.709625,0.62,0.259738
0.0,0.637028,59,favorable,0.7941,0.433374,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.771807,0.62,0.72698
1.0,0.714143,60,review,0.587863,0.370308,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.35706,0.62,0.598598
0.0,0.730089,61,favorable,0.835444,0.760765,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.486446,0.62,0.607027
0.0,0.705107,62,favorable,0.829551,0.685001,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.39845,0.62,0.773618
0.0,0.241712,63,favorable,0.715107,0.939525,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.500234,0.62,0.334096
1.0,0.651131,64,favorable,0.632158,0.614777,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.672882,0.62,0.361912
1.0,0.424833,65,unfavorable,0.481264,0.338309,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.734987,0.62,0.373499
0.0,0.692127,66,favorable,0.88822,0.945776,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.582169,0.62,0.89247
0.0,0.727671,67,favorable,0.803387,0.313888,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.501473,0.62,1.0
1.0,0.495869,68,favorable,0.664952,0.652074,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.836147,0.62,0.655078
0.0,0.572942,69,favorable,0.779547,0.648381,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.665978,0.62,0.484899
1.0,0.247867,70,unfavorable,0.316271,0.365099,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.447489,0.62,0.669242
0.0,0.396941,71,favorable,0.747507,0.809021,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.421372,0.62,0.509018
0.0,0.164299,72,unfavorable,0.466663,0.576277,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.295067,0.62,0.5305
0.0,0.514011,73,review,0.602607,0.575485,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.49591,0.62,0.447117
0.0,0.482909,74,favorable,0.802211,0.838836,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.852127,0.62,0.405852
0.0,0.487922,75,favorable,0.77589,0.713015,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.44296,0.62,0.668925
0.0,0.622788,76,favorable,0.760838,0.482482,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.414099,0.62,0.68438
1.0,0.348042,77,unfavorable,0.47779,0.356415,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.837003,0.62,0.397986
0.0,0.485194,78,favorable,0.748976,0.683023,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.464882,0.62,0.51789
0.0,0.687261,79,favorable,0.817641,0.773635,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.610933,0.62,0.424427
1.0,0.325129,80,unfavorable,0.337525,0.287565,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.20557,0.62,0.245096
0.0,0.835467,81,favorable,0.822334,0.605355,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.55197,0.62,0.488505
0.0,0.835743,82,favorable,0.858059,0.548969,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.59709,0.62,0.875337
1.0,0.285243,83,unfavorable,0.384149,0.28179,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.349485,0.62,0.480076
0.0,0.703341,84,favorable,0.871543,0.699942,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.785594,0.62,0.903521
1.0,0.370419,85,unfavorable,0.411267,0.62951,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.699499,0.62,0.392531
1.0,0.373563,86,unfavorable,0.517181,0.430752,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.618281,0.62,0.587661
1.0,0.313419,87,unfavorable,0.441536,0.363235,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.724249,0.62,0.345494
0.0,0.499797,88,favorable,0.774662,0.618715,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.715427,0.62,0.592718
1.0,0.935992,89,favorable,0.713187,0.454806,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.468605,0.62,0.687784
0.0,0.471643,90,favorable,0.762963,0.561348,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.342459,0.62,0.903924
1.0,0.724443,91,favorable,0.663486,0.517111,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.840703,0.62,0.431881
1.0,0.499634,92,unfavorable,0.493906,0.297758,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.602315,0.62,0.453212
0.0,0.453755,93,unfavorable,0.495769,0.384627,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.237206,0.62,0.478892
0.0,0.760914,94,favorable,0.834131,0.792052,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.55615,0.62,0.444405
0.0,0.806273,95,favorable,0.891682,1.0,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.505722,0.62,0.700991
1.0,0.550929,96,unfavorable,0.496218,0.297439,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.606045,0.62,0.369714
0.0,0.379697,97,review,0.564037,0.665807,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.468096,0.62,0.375728
0.0,0.532539,98,favorable,0.814022,1.0,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.567925,0.62,0.364774
0.0,0.759537,99,favorable,0.802138,0.672785,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.444037,0.62,0.433522
1.0,0.688414,100,favorable,0.668205,0.431947,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.784997,0.62,0.689744
0.0,0.476137,101,review,0.604138,0.606295,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.118648,0.62,0.736909
1.0,0.236336,102,unfavorable,0.3908,0.381262,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.550894,0.62,0.31607
1.0,0.466337,103,unfavorable,0.387657,0.658788,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.499585,0.62,0.189156
1.0,0.251981,104,unfavorable,0.423652,0.594896,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.582036,0.62,0.116043
1.0,0.388684,105,unfavorable,0.487833,0.388513,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.542259,0.62,0.529091
0.0,0.633891,106,favorable,0.771893,0.535463,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.467769,0.62,0.625078
1.0,0.230314,107,unfavorable,0.447859,0.512412,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.438191,0.62,0.501026
1.0,0.424549,108,review,0.570263,0.545318,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.533894,0.62,0.649132
0.0,0.448102,109,review,0.59542,0.190362,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.419604,0.62,0.471815
0.0,0.901698,110,favorable,0.88678,0.899361,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.510958,0.62,0.613179
1.0,0.324028,111,unfavorable,0.491103,0.359072,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.734578,0.62,0.574578
1.0,0.444549,112,review,0.556769,0.439689,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.502538,0.62,0.724303
0.0,0.54034,113,favorable,0.84152,0.821001,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.565641,0.62,0.862233
0.0,0.482195,114,favorable,0.755812,0.655502,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.350845,0.62,0.688882
0.0,0.392622,115,favorable,0.732479,0.487121,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.438806,0.62,0.890056
0.0,0.497109,116,favorable,0.720339,0.467566,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.796172,0.62,0.407955
0.0,0.697962,117,favorable,0.865402,0.753603,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.619336,0.62,0.879873
1.0,0.2365,118,unfavorable,0.351684,0.353655,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.357892,0.62,0.280257
0.0,0.961095,119,favorable,0.890652,0.749044,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.652471,0.62,0.682648
1.0,0.385047,120,review,0.616671,0.919304,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.477044,0.62,0.439484
0.0,0.880609,121,favorable,0.737253,0.600175,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.393919,0.62,0.584986
0.0,0.799555,122,favorable,0.801681,0.513272,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.692908,0.62,0.425569
0.0,0.338342,123,favorable,0.682233,0.650633,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.636993,0.62,0.302942
0.0,0.547507,124,favorable,0.802862,0.658268,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.501743,0.62,0.805645
1.0,0.485028,125,review,0.521143,0.551664,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.531626,0.62,0.283676
0.0,0.82108,126,favorable,0.794686,0.722309,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.532469,0.62,0.129016
1.0,0.414818,127,review,0.555342,0.511489,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.68448,0.62,0.538176
1.0,0.501846,128,unfavorable,0.409414,0.438675,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.494023,0.62,0.572263
1.0,0.007771,129,unfavorable,0.344455,0.339358,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.54988,0.62,0.544456
0.0,0.677568,130,review,0.548398,0.39616,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.376849,0.62,0.223837
0.0,0.984048,131,favorable,0.72974,0.573857,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.250508,0.62,0.48753
0.0,0.953973,132,favorable,0.882676,0.591752,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.548227,0.62,0.903916
0.0,0.719816,133,favorable,0.760349,0.813601,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.53103,0.62,0.615594
0.0,0.561651,134,favorable,0.626242,0.624651,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.304519,0.62,0.543332
0.0,0.376196,135,favorable,0.751544,0.584996,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.586538,0.62,0.795987
0.0,0.581523,136,favorable,0.793558,0.689547,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.603664,0.62,0.554782
0.0,0.518962,137,favorable,0.685549,0.881501,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.487478,0.62,0.438729
1.0,0.43866,138,unfavorable,0.518908,0.513068,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.764153,0.62,0.254555
1.0,0.603373,139,unfavorable,0.498231,0.222746,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.397512,0.62,0.540131
0.0,0.487563,140,favorable,0.80532,0.837763,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.554583,0.62,0.628223
0.0,0.392544,141,favorable,0.692879,0.641588,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.461168,0.62,0.401096
0.0,0.360808,142,favorable,0.711892,0.49453,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.691356,0.62,0.63467
1.0,0.277316,143,unfavorable,0.33422,0.185214,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.472196,0.62,0.28346
0.0,0.418579,144,favorable,0.769229,0.887427,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.333537,0.62,0.560828
1.0,0.629874,145,unfavorable,0.496814,0.375081,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.559119,0.62,0.145405
1.0,0.202153,146,unfavorable,0.243367,0.318928,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.527028,0.62,0.31249
0.0,0.729178,147,favorable,0.884993,0.879784,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.579616,0.62,0.885942
1.0,0.336485,148,unfavorable,0.458157,0.457039,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.618147,0.62,0.319881
0.0,0.646552,149,favorable,0.768028,0.545108,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.400526,0.62,0.606614
0.0,0.701905,150,favorable,0.871129,0.885962,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.591394,0.62,0.755988
0.0,0.591424,151,favorable,0.767839,0.476561,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.384327,0.62,0.819163
1.0,0.136668,152,unfavorable,0.263379,0.574964,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.32729,0.62,0.316731
0.0,0.118832,153,review,0.5753,0.484385,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.373185,0.62,0.555862
0.0,0.530342,154,favorable,0.756421,0.650326,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.480238,0.62,0.524544
1.0,0.229153,155,unfavorable,0.378954,0.328339,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.6554,0.62,0.274074
1.0,0.636318,156,review,0.598552,0.518269,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.678407,0.62,0.352157
0.0,0.42697,157,favorable,0.708663,0.480887,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.202788,0.62,0.851495
0.0,0.78595,158,favorable,0.832177,0.62127,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.449047,0.62,0.711262
0.0,0.412213,159,favorable,0.686436,0.731715,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.296629,0.62,0.305743
0.0,0.416617,160,favorable,0.744215,0.577906,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.2996,0.62,0.882038
1.0,0.513585,161,review,0.536553,0.673663,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.601121,0.62,0.078455
0.0,0.574236,162,favorable,0.707946,0.672105,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.564115,0.62,0.732498
1.0,0.024416,163,unfavorable,0.211182,0.0,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.384112,0.62,0.294397
0.0,0.634746,164,favorable,0.811604,0.701548,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.640138,0.62,0.557692
0.0,0.762087,165,favorable,0.79502,0.880771,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.371605,0.62,0.798898
0.0,0.697672,166,favorable,0.864213,0.786871,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.714418,0.62,0.752417
0.0,0.820757,167,favorable,0.70917,0.678119,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",1.0,0.701343,0.62,0.189718
1.0,0.0,168,unfavorable,0.395374,0.65849,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.52036,0.62,0.373542
0.0,0.764191,169,favorable,0.830586,0.67376,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.602753,0.62,0.552108
0.0,0.431299,170,favorable,0.81586,0.719355,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.818368,0.62,0.812291
0.0,0.563478,171,favorable,0.83446,0.979639,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.316067,0.62,0.688909
0.0,0.364173,172,favorable,0.709464,0.772452,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.432124,0.62,0.375148
0.0,0.683975,173,favorable,0.774314,0.553042,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.350668,0.62,0.605689
1.0,0.64125,174,review,0.566841,0.516546,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.541482,0.62,0.276863
0.0,0.689159,175,favorable,0.856938,1.0,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.397822,0.62,0.590009
0.0,0.728633,176,favorable,0.825836,0.627315,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.486214,0.62,0.724604
0.0,0.497566,177,favorable,0.817812,0.78402,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.441285,0.62,0.870738
0.0,0.401883,178,favorable,0.755707,0.731925,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.593428,0.62,0.552323
0.0,0.333771,179,favorable,0.697229,0.74814,"Synthetic decision record for testing counterfactual reasoning, recourse, and feasibility review.",0.0,0.428379,0.62,0.395992
