allowed_for_recourse,case_id,counterfactual_decision,counterfactual_feature,counterfactual_score,counterfactual_value,delta,feasibility_note,flipped_to_favorable,original_decision,original_score,original_value,recourse_cost,score_change
True,2,favorable,document_quality,0.799206,0.790909,0.35,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.2625,0.075816
True,2,favorable,document_quality,0.808662,0.840909,0.4,Can often improve through corrected or complete documentation.,False,favorable,0.72339,0.440909,0.3,0.085272
True,2,favorable,timeliness,0.731322,0.628293,0.05,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.055,0.007932
True,2,favorable,timeliness,0.739109,0.678293,0.1,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.11,0.015719
True,2,favorable,timeliness,0.746748,0.728293,0.15,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.165,0.023358
True,2,favorable,timeliness,0.754237,0.778293,0.2,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.22,0.030847
True,2,favorable,timeliness,0.761576,0.828293,0.25,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.275,0.038186
True,2,favorable,timeliness,0.768763,0.878293,0.3,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.33,0.045373
True,2,favorable,timeliness,0.775797,0.928293,0.35,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.385,0.052407
True,2,favorable,timeliness,0.782678,0.978293,0.4,Can improve in future cycles but may be constrained by access.,False,favorable,0.72339,0.578293,0.44,0.059288
False,2,favorable,prior_flag,0.717854,0.05,0.05,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,4.95,-0.005536
False,2,favorable,prior_flag,0.712251,0.1,0.1,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,9.9,-0.011139
False,2,favorable,prior_flag,0.706582,0.15,0.15,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,14.85,-0.016808
False,2,favorable,prior_flag,0.700848,0.2,0.2,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,19.8,-0.022542
False,2,favorable,prior_flag,0.695051,0.25,0.25,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,24.75,-0.028339
False,2,favorable,prior_flag,0.689191,0.3,0.3,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,29.7,-0.034199
False,2,favorable,prior_flag,0.68327,0.35,0.35,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,34.65,-0.04012
False,2,favorable,prior_flag,0.677289,0.4,0.4,Historical marker should not be used as an action recommendation.,False,favorable,0.72339,0.0,39.6,-0.046101
False,2,favorable,access_constraint,0.716332,0.05,0.05,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,4.95,-0.007058
False,2,favorable,access_constraint,0.709167,0.1,0.1,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,9.9,-0.014223
False,2,favorable,access_constraint,0.701896,0.15,0.15,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,14.85,-0.021494
False,2,favorable,access_constraint,0.694521,0.2,0.2,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,19.8,-0.028869
False,2,favorable,access_constraint,0.687045,0.25,0.25,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,24.75,-0.036345
False,2,favorable,access_constraint,0.679471,0.3,0.3,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,29.7,-0.043919
False,2,favorable,access_constraint,0.671801,0.35,0.35,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,34.65,-0.051589
False,2,favorable,access_constraint,0.664038,0.4,0.4,Structural constraint should not be framed as individual recourse.,False,favorable,0.72339,0.0,39.6,-0.059352
False,2,favorable,risk_adjustment,0.728859,0.341213,0.05,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,4.95,0.005469
False,2,favorable,risk_adjustment,0.734259,0.391213,0.1,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,9.9,0.010869
False,2,favorable,risk_adjustment,0.73959,0.441213,0.15,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,14.85,0.0162
False,2,favorable,risk_adjustment,0.744852,0.491213,0.2,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,19.8,0.021462
False,2,favorable,risk_adjustment,0.750043,0.541213,0.25,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,24.75,0.026653
False,2,favorable,risk_adjustment,0.755163,0.591213,0.3,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,29.7,0.031773
False,2,favorable,risk_adjustment,0.760212,0.641213,0.35,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,34.65,0.036822
False,2,favorable,risk_adjustment,0.765189,0.691213,0.4,Internal model component is not directly actionable.,False,favorable,0.72339,0.291213,39.6,0.041799
True,3,favorable,baseline_score,0.886874,0.645702,0.05,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.07,0.00748
True,3,favorable,baseline_score,0.893946,0.695702,0.1,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.14,0.014552
True,3,favorable,baseline_score,0.900626,0.745702,0.15,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.21,0.021232
True,3,favorable,baseline_score,0.906929,0.795702,0.2,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.28,0.027535
True,3,favorable,baseline_score,0.912871,0.845702,0.25,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.35,0.033477
True,3,favorable,baseline_score,0.918467,0.895702,0.3,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.42,0.039073
True,3,favorable,baseline_score,0.923734,0.945702,0.35,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.49,0.04434
True,3,favorable,baseline_score,0.928688,0.995702,0.4,Can improve through documented qualifying activity but may take time.,False,favorable,0.879394,0.595702,0.56,0.049294
True,3,favorable,document_quality,0.885614,0.957506,0.05,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.0375,0.00622
True,3,favorable,document_quality,0.890679,1.0,0.092494,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.06937,0.011285
True,3,favorable,document_quality,0.890679,1.0,0.092494,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.06937,0.011285
True,3,favorable,document_quality,0.890679,1.0,0.092494,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.06937,0.011285
True,3,favorable,document_quality,0.890679,1.0,0.092494,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.06937,0.011285
True,3,favorable,document_quality,0.890679,1.0,0.092494,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.06937,0.011285
True,3,favorable,document_quality,0.890679,1.0,0.092494,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.06937,0.011285
True,3,favorable,document_quality,0.890679,1.0,0.092494,Can often improve through corrected or complete documentation.,False,favorable,0.879394,0.907506,0.06937,0.011285
True,3,favorable,timeliness,0.883572,0.952808,0.05,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.055,0.004178
True,3,favorable,timeliness,0.8874,1.0,0.097192,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.106911,0.008006
True,3,favorable,timeliness,0.8874,1.0,0.097192,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.106911,0.008006
True,3,favorable,timeliness,0.8874,1.0,0.097192,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.106911,0.008006
True,3,favorable,timeliness,0.8874,1.0,0.097192,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.106911,0.008006
True,3,favorable,timeliness,0.8874,1.0,0.097192,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.106911,0.008006
True,3,favorable,timeliness,0.8874,1.0,0.097192,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.106911,0.008006
True,3,favorable,timeliness,0.8874,1.0,0.097192,Can improve in future cycles but may be constrained by access.,False,favorable,0.879394,0.902808,0.106911,0.008006
False,3,favorable,prior_flag,0.876446,0.05,0.05,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,4.95,-0.002948
False,3,favorable,prior_flag,0.873438,0.1,0.1,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,9.9,-0.005956
False,3,favorable,prior_flag,0.870366,0.15,0.15,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,14.85,-0.009028
False,3,favorable,prior_flag,0.867232,0.2,0.2,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,19.8,-0.012162
False,3,favorable,prior_flag,0.864033,0.25,0.25,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,24.75,-0.015361
False,3,favorable,prior_flag,0.86077,0.3,0.3,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,29.7,-0.018624
False,3,favorable,prior_flag,0.857442,0.35,0.35,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,34.65,-0.021952
False,3,favorable,prior_flag,0.854047,0.4,0.4,Historical marker should not be used as an action recommendation.,False,favorable,0.879394,0.0,39.6,-0.025347
False,3,favorable,access_constraint,0.875632,0.05,0.05,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,4.95,-0.003762
False,3,favorable,access_constraint,0.87177,0.1,0.1,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,9.9,-0.007624
False,3,favorable,access_constraint,0.867806,0.15,0.15,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,14.85,-0.011588
False,3,favorable,access_constraint,0.863739,0.2,0.2,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,19.8,-0.015655
False,3,favorable,access_constraint,0.859567,0.25,0.25,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,24.75,-0.019827
False,3,favorable,access_constraint,0.855289,0.3,0.3,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,29.7,-0.024105
False,3,favorable,access_constraint,0.850903,0.35,0.35,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,34.65,-0.028491
False,3,favorable,access_constraint,0.846408,0.4,0.4,Structural constraint should not be framed as individual recourse.,False,favorable,0.879394,0.0,39.6,-0.032986
False,3,favorable,risk_adjustment,0.88228,0.798508,0.05,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,4.95,0.002886
False,3,favorable,risk_adjustment,0.885106,0.848508,0.1,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,9.9,0.005712
False,3,favorable,risk_adjustment,0.887873,0.898508,0.15,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,14.85,0.008479
False,3,favorable,risk_adjustment,0.890582,0.948508,0.2,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,19.8,0.011188
False,3,favorable,risk_adjustment,0.893233,0.998508,0.25,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,24.75,0.013839
False,3,favorable,risk_adjustment,0.893311,1.0,0.251492,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,24.897708,0.013917
False,3,favorable,risk_adjustment,0.893311,1.0,0.251492,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,24.897708,0.013917
False,3,favorable,risk_adjustment,0.893311,1.0,0.251492,Internal model component is not directly actionable.,False,favorable,0.879394,0.748508,24.897708,0.013917
True,4,favorable,baseline_score,0.736356,0.522454,0.05,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.07,0.014314
True,4,favorable,baseline_score,0.750188,0.572454,0.1,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.14,0.028146
True,4,favorable,baseline_score,0.763527,0.622454,0.15,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.21,0.041485
True,4,favorable,baseline_score,0.776366,0.672454,0.2,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.28,0.054324
True,4,favorable,baseline_score,0.788701,0.722454,0.25,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.35,0.066659
True,4,favorable,baseline_score,0.800531,0.772454,0.3,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.42,0.078489
True,4,favorable,baseline_score,0.811856,0.822454,0.35,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.49,0.089814
True,4,favorable,baseline_score,0.82268,0.872454,0.4,Can improve through documented qualifying activity but may take time.,False,favorable,0.722042,0.472454,0.56,0.100638
True,4,favorable,document_quality,0.733922,0.447955,0.05,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.0375,0.01188
True,4,favorable,document_quality,0.745473,0.497955,0.1,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.075,0.023431
True,4,favorable,document_quality,0.756689,0.547955,0.15,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.1125,0.034647
True,4,favorable,document_quality,0.767565,0.597955,0.2,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.15,0.045523
True,4,favorable,document_quality,0.778098,0.647955,0.25,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.1875,0.056056
True,4,favorable,document_quality,0.788284,0.697955,0.3,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.225,0.066242
True,4,favorable,document_quality,0.798125,0.747955,0.35,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.2625,0.076083
True,4,favorable,document_quality,0.807619,0.797955,0.4,Can often improve through corrected or complete documentation.,False,favorable,0.722042,0.397955,0.3,0.085577
True,4,favorable,timeliness,0.729998,0.707652,0.05,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.055,0.007956
True,4,favorable,timeliness,0.737809,0.757652,0.1,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.11,0.015767
True,4,favorable,timeliness,0.745473,0.807652,0.15,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.165,0.023431
True,4,favorable,timeliness,0.752988,0.857652,0.2,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.22,0.030946
True,4,favorable,timeliness,0.760353,0.907652,0.25,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.275,0.038311
True,4,favorable,timeliness,0.767565,0.957652,0.3,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.33,0.045523
True,4,favorable,timeliness,0.773555,1.0,0.342348,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.376583,0.051513
True,4,favorable,timeliness,0.773555,1.0,0.342348,Can improve in future cycles but may be constrained by access.,False,favorable,0.722042,0.657652,0.376583,0.051513
False,4,favorable,prior_flag,0.716489,0.05,0.05,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,4.95,-0.005553
False,4,favorable,prior_flag,0.71087,0.1,0.1,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,9.9,-0.011172
False,4,favorable,prior_flag,0.705185,0.15,0.15,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,14.85,-0.016857
False,4,favorable,prior_flag,0.699436,0.2,0.2,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,19.8,-0.022606
False,4,favorable,prior_flag,0.693623,0.25,0.25,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,24.75,-0.028419
False,4,favorable,prior_flag,0.687748,0.3,0.3,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,29.7,-0.034294
False,4,favorable,prior_flag,0.681813,0.35,0.35,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,34.65,-0.040229
False,4,favorable,prior_flag,0.675817,0.4,0.4,Historical marker should not be used as an action recommendation.,False,favorable,0.722042,0.0,39.6,-0.046225
False,4,favorable,access_constraint,0.714963,0.05,0.05,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,4.95,-0.007079
False,4,favorable,access_constraint,0.707777,0.1,0.1,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,9.9,-0.014265
False,4,favorable,access_constraint,0.700486,0.15,0.15,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,14.85,-0.021556
False,4,favorable,access_constraint,0.693092,0.2,0.2,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,19.8,-0.02895
False,4,favorable,access_constraint,0.685597,0.25,0.25,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,24.75,-0.036445
False,4,favorable,access_constraint,0.678004,0.3,0.3,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,29.7,-0.044038
False,4,favorable,access_constraint,0.670316,0.35,0.35,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,34.65,-0.051726
False,4,favorable,access_constraint,0.662536,0.4,0.4,Structural constraint should not be framed as individual recourse.,False,favorable,0.722042,0.0,39.6,-0.059506
False,4,favorable,risk_adjustment,0.727527,0.715251,0.05,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,4.95,0.005485
False,4,favorable,risk_adjustment,0.732945,0.765251,0.1,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,9.9,0.010903
False,4,favorable,risk_adjustment,0.738293,0.815251,0.15,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,14.85,0.016251
False,4,favorable,risk_adjustment,0.743571,0.865251,0.2,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,19.8,0.021529
False,4,favorable,risk_adjustment,0.74878,0.915251,0.25,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,24.75,0.026738
False,4,favorable,risk_adjustment,0.753917,0.965251,0.3,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,29.7,0.031875
False,4,favorable,risk_adjustment,0.757446,1.0,0.334749,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,33.140151,0.035404
False,4,favorable,risk_adjustment,0.757446,1.0,0.334749,Internal model component is not directly actionable.,False,favorable,0.722042,0.665251,33.140151,0.035404
True,5,favorable,baseline_score,0.716004,0.874091,0.05,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.07,0.014971
True,5,favorable,baseline_score,0.730512,0.924091,0.1,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.14,0.029479
True,5,favorable,baseline_score,0.744544,0.974091,0.15,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.21,0.043511
True,5,favorable,baseline_score,0.751624,1.0,0.175909,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.246273,0.050591
True,5,favorable,baseline_score,0.751624,1.0,0.175909,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.246273,0.050591
True,5,favorable,baseline_score,0.751624,1.0,0.175909,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.246273,0.050591
True,5,favorable,baseline_score,0.751624,1.0,0.175909,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.246273,0.050591
True,5,favorable,baseline_score,0.751624,1.0,0.175909,Can improve through documented qualifying activity but may take time.,False,favorable,0.701033,0.824091,0.246273,0.050591
True,5,favorable,document_quality,0.713455,0.056233,0.05,Can often improve through corrected or complete documentation.,False,favorable,0.701033,0.006233,0.0375,0.012422
