group,interpretation,noise_sd,observed_y,row_id,split,true_signal,x
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.184972,train_0023,train,-0.885428,-0.767104
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.762866,train_0024,train,0.77484,0.20033
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.500563,train_0025,train,0.379923,-0.017939
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.024401,train_0026,train,0.045162,-0.160068
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.385797,train_0027,train,0.601404,0.852466
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.248203,train_0028,train,-1.276556,-0.949248
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.533762,train_0029,train,-0.573036,-0.55095
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.619758,train_0030,train,0.57846,0.409325
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.967318,train_0031,train,0.766521,0.773649
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.378517,train_0032,train,0.227603,-0.059919
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.361685,train_0033,train,0.31217,-0.035774
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.049334,train_0034,train,0.677554,0.253341
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.257231,train_0035,train,0.149654,-0.086407
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.773264,train_0036,train,0.694072,0.974451
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.499147,train_0037,train,0.7484,0.091265
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.001754,train_0038,train,0.10007,-0.384745
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.837339,train_0039,train,1.04284,0.599604
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.777494,train_0040,train,0.779947,0.7689
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.022966,train_0041,train,0.062186,-0.133866
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.065342,train_0042,train,-1.202344,-0.933781
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.409231,train_0043,train,0.572443,0.311285
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.506194,train_0044,train,0.620554,0.045778
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.491294,train_0045,train,0.368225,-0.020965
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.271902,train_0046,train,0.338048,-0.028862
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.687544,train_0047,train,0.536949,0.022534
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.499897,train_0048,train,0.790145,0.115676
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.740166,train_0049,train,0.663283,0.814532
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.490078,train_0050,train,0.627053,0.833623
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.00312,train_0051,train,-0.885695,-0.803252
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.273006,train_0052,train,0.565994,0.030347
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.590054,train_0053,train,0.130499,-0.094159
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.897601,train_0054,train,0.999511,0.68488
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.420758,train_0055,train,0.29046,-0.041708
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.493331,train_0056,train,0.43763,-0.003158
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.889873,train_0057,train,-0.887022,-0.806675
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.070616,train_0058,train,0.114659,-0.10121
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.157391,train_0059,train,-1.394694,-0.971935
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.591248,train_0060,train,0.590929,0.864357
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.871832,train_0061,train,-0.908724,-0.833869
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.569555,train_0062,train,0.7003,0.242149
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.08134,train_0063,train,0.823854,0.50371
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.569788,train_0064,train,0.642202,0.270817
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.991346,train_0065,train,-0.89893,-0.690478
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.146037,train_0066,train,0.926611,0.539056
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.300173,train_0067,train,0.587207,0.899871
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.882639,train_0068,train,-0.897099,-0.730271
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.972886,train_0069,train,-0.586684,-0.554145
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.590512,train_0070,train,0.828629,0.751988
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.717563,train_0071,train,0.486828,0.009443
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.722863,train_0072,train,0.587513,0.870112
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.125075,train_0073,train,0.99264,0.566876
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.033394,train_0074,train,0.04491,-0.175922
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.936262,train_0075,train,1.054453,0.61599
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.408576,train_0076,train,-1.393622,-0.971736
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.838368,train_0077,train,-0.882886,-0.787732
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.122954,train_0078,train,0.160846,-0.305964
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.158433,train_0079,train,0.153395,-0.293194
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.489473,train_0080,train,0.530311,0.020776
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.104091,train_0081,train,0.156999,-0.34448
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.737336,train_0082,train,-0.888234,-0.757254
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.293162,train_0083,train,0.586206,0.897564
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.040967,train_0084,train,-0.899414,-0.692219
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.448875,train_0085,train,0.597913,0.039227
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.846298,train_0086,train,0.78025,0.196439
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.702457,train_0087,train,0.537823,0.356997
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.704349,train_0088,train,-0.7812,-0.609012
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.829827,train_0089,train,0.613069,0.842911
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.075343,train_0090,train,1.012019,0.677961
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.128835,test_0001,test,0.125392,-0.096358
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.484684,test_0002,test,0.600983,0.421891
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.970353,test_0003,test,0.818082,0.755634
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.160834,test_0004,test,1.000428,0.570818
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.680715,test_0005,test,0.578216,0.033705
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.963271,test_0006,test,0.991944,0.688749
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.09109,test_0007,test,0.074932,-0.220057
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.836448,test_0008,test,-0.920576,-0.842682
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.009459,test_0009,test,0.087895,-0.390181
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.548101,test_0010,test,0.431217,-0.004795
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.804672,test_0011,test,0.979135,0.560496
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.256059,test_0012,test,0.15397,-0.348421
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.545757,test_0013,test,0.311723,-0.035894
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.25608,test_0014,test,1.036015,0.593424
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.131714,test_0015,test,1.056386,0.632305
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.484937,test_0016,test,0.591589,0.907348
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.701088,test_0017,test,0.813433,0.757242
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.846017,test_0018,test,0.992135,0.566628
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.750058,test_0019,test,0.970108,0.698987
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.247258,test_0020,test,0.155399,-0.2961
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.114594,test_0021,test,-0.897564,-0.686482
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.624956,test_0022,test,0.714059,0.076757
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.931696,test_0023,test,-0.883097,-0.780613
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.584522,test_0024,test,0.808624,0.136083
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.694966,test_0025,test,-0.655547,-0.57113
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.921096,test_0026,test,0.784454,0.111468
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.922542,test_0027,test,-0.883984,-0.797089
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.429019,test_0028,test,-0.875433,-0.65745
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.555758,test_0029,test,0.539268,0.369095
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.117075,test_0030,test,-0.829387,-0.62901
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.518832,test_0031,test,0.663615,0.260173
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.011273,test_0032,test,1.017305,0.674782
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.045583,test_0033,test,0.009678,-0.417928
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.856461,test_0034,test,-0.985042,-0.874242
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.295011,test_0035,test,0.045078,-0.176715
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.142063,test_0036,test,0.044235,-0.170943
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.347765,test_0037,test,-1.379665,-0.96914
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.867191,test_0038,test,-0.889298,-0.753959
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.165819,test_0039,test,0.540188,0.371653
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.037705,test_0040,test,0.157455,-0.299386
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.771843,test_0041,test,0.976961,0.559514
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.559878,test_0042,test,0.723691,0.23029
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.554143,test_0043,test,0.604735,0.849488
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.296773,test_0044,test,0.181972,-0.07466
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.859185,test_0045,test,0.661232,0.958224
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.721757,test_0046,test,0.91142,0.722602
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.696481,test_0047,test,0.537921,0.362807
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.502638,test_0048,test,0.585027,0.894127
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.1312,test_0049,test,0.148883,-0.287364
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.485812,test_0050,test,-1.293761,-0.952673
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.442114,test_0051,test,0.553722,0.390601
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.4827,test_0052,test,1.042922,0.599686
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.871139,test_0053,test,-0.888837,-0.75537
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.525789,test_0054,test,0.682541,0.805921
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.606021,test_0055,test,0.732784,0.084314
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.842098,test_0056,test,0.649076,0.443356
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.950067,test_0057,test,-0.883829,-0.774805
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.952489,test_0058,test,-0.89109,-0.748636
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.004862,test_0059,test,0.152462,-0.291919
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.453639,test_0060,test,-1.24302,-0.942412
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.702716,test_0061,test,0.812188,0.156254
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.299719,test_0062,test,-0.439085,-0.521388
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.063414,test_0063,test,0.045719,-0.158029
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.827787,test_0064,test,0.736381,0.085854
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.808394,test_0065,test,0.557957,0.323125
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.047266,test_0066,test,0.061733,-0.206283
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.266791,test_0067,test,-0.290254,-0.490051
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.06393,test_0068,test,-0.095256,-0.446337
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.274704,test_0069,test,0.288273,-0.042313
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.739821,test_0070,test,0.583911,0.888456
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.913379,test_0071,test,0.791529,0.187301
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.395307,test_0072,test,0.588508,0.300426
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.464921,test_0073,test,0.605688,0.922611
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.639339,test_0074,test,0.651795,0.266013
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.731668,test_0075,test,0.840153,0.509064
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.18291,test_0076,test,-1.423186,-0.977181
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.188526,test_0077,test,0.6575,0.956257
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.625548,test_0078,test,0.53775,0.358286
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.258337,test_0079,test,0.907079,0.724214
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.114718,test_0080,test,0.058101,-0.201851
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.775056,test_0081,test,0.650263,0.952342
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.000237,test_0082,test,1.03992,0.658105
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.214688,test_0083,test,0.163214,-0.312624
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.797693,test_0084,test,0.635892,0.274023
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.448072,test_0085,test,0.761213,0.097591
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.862422,test_0086,test,0.810933,0.161159
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.891136,test_0087,test,-0.81899,-0.624195
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.653428,test_0088,test,0.728361,0.787595
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.720958,test_0089,test,0.5877,0.900885
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.256652,test_0090,test,0.571331,0.404697
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.984191,test_0091,test,1.032638,0.590733
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.056696,test_0092,test,0.114601,-0.254412
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.889909,test_0093,test,0.698812,0.462017
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.969793,test_0094,test,0.744731,0.997623
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.276869,test_0095,test,-1.348622,-0.963295
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.151889,test_0096,test,0.809499,0.164777
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.981368,test_0097,test,0.812022,0.145259
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.56148,test_0098,test,0.610054,0.926287
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.511149,test_0099,test,0.576359,0.033192
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.434907,test_0100,test,0.517944,0.017523
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.920891,test_0101,test,-0.903172,-0.828927
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.390966,test_0102,test,-0.229761,-0.477112
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.392956,test_0103,test,-1.128516,-0.916823
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.066132,test_0104,test,-0.8919,-0.675579
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.141833,test_0105,test,0.021768,-0.414174
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.595014,test_0106,test,0.638299,0.945508
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.815856,test_0107,test,-0.815389,-0.622606
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.732069,test_0108,test,0.756868,0.211902
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.005695,test_0109,test,0.296742,-0.039976
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.840196,test_0110,test,0.686452,0.804254
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.771066,test_0111,test,0.660891,0.958046
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.571208,test_0112,test,0.573417,0.032381
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.956032,test_0113,test,-0.85155,-0.640754
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.738262,test_0114,test,0.764457,0.774385
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.755663,test_0115,test,0.564665,0.029984
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.701822,test_0116,test,-1.527642,-0.996015
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.025583,test_0117,test,0.110427,-0.250885
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.806575,test_0118,test,-0.899235,-0.691548
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.108204,test_0119,test,0.742781,0.220037
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.702961,test_0120,test,0.330469,-0.03087
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.814471,test_0121,test,0.840281,0.747955
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.542212,test_0122,test,0.716671,0.233909
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.369765,test_0123,test,0.597243,0.295091
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.565581,test_0124,test,-0.887962,-0.758123
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.722697,test_0125,test,0.5932,0.037893
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.095149,test_0126,test,0.145237,-0.088132
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.077938,test_0127,test,0.80629,0.17063
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.743568,test_0128,test,-0.898625,-0.824266
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.294962,test_0129,test,0.409378,-0.010374
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.281272,test_0130,test,-0.55984,-0.547904
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.00887,test_0131,test,0.152611,-0.349996
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.657605,test_0132,test,0.663972,0.814211
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.774177,test_0133,test,0.660075,0.447697
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.003662,test_0134,test,-0.860782,-0.646513
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,1.104192,test_0135,test,1.052921,0.612755
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.429743,test_0136,test,0.159394,-0.302907
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.73334,test_0137,test,1.00706,0.574368
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.26806,test_0138,test,0.093626,-0.236745
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.910677,test_0139,test,-0.899151,-0.691243
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-1.155404,test_0140,test,-0.892393,-0.744832
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.092695,test_0141,test,-0.173724,-0.464742
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.868469,test_0142,test,1.004221,0.68236
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.249545,test_0143,test,0.095088,-0.111102
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.285713,test_0144,test,-0.485777,-0.531414
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.551056,test_0145,test,0.63661,0.944499
lower_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,-0.009419,test_0146,test,0.025265,-0.413061
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.125611,test_0147,test,0.156302,-0.083872
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.646241,test_0148,test,0.624307,0.432925
middle_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.398869,test_0149,test,0.53972,0.348234
upper_region,Synthetic continuous outcome for model-error and generalization diagnostics.,0.18,0.841271,test_0150,test,0.609259,0.845788
