baseline_capacity,hidden_need_unobserved_in_real_study,individual_true_effect,institutional_access,interpretation,observed_outcome,potential_outcome_control,potential_outcome_treated,prior_risk,treatment,treatment_probability,unit_id
0.333451,0.44428,0.223924,0.108167,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.275705,0.275705,0.499629,0.151993,0,0.346339,100
0.601571,0.850751,0.211768,0.948505,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.612668,0.612668,0.824436,0.656982,0,0.712416,101
0.761919,0.3024,0.235698,0.566458,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.564057,0.328359,0.564057,0.178986,1,0.380742,102
0.675078,0.267879,0.238107,0.603285,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.170086,0.170086,0.408193,0.053643,0,0.348365,103
0.74675,0.196388,0.241242,0.587779,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.179695,0.179695,0.420937,0.02901,0,0.322021,104
0.779336,0.422075,0.237179,0.457001,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.488407,0.251228,0.488407,0.155018,1,0.357397,105
0.16684,0.593569,0.201565,0.592044,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.92059,0.719026,0.92059,0.58601,1,0.653881,106
0.402268,0.18269,0.224415,0.670536,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.637197,0.412782,0.637197,0.191327,1,0.444811,107
0.542825,0.722107,0.227299,0.723641,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.8167,0.589401,0.8167,0.224653,1,0.497489,108
0.329614,0.758402,0.212961,0.821353,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.728241,0.51528,0.728241,0.423178,1,0.62961,109
0.358125,0.900573,0.192827,0.706114,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.847717,0.65489,0.847717,0.947929,1,0.791256,110
0.333331,0.487345,0.226847,0.513045,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.37887,0.37887,0.605717,0.078819,0,0.402124,111
0.462569,0.869234,0.226305,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.485854,0.485854,0.712159,0.189299,0,0.565168,112
0.290841,0.67454,0.192178,0.796477,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.920375,0.728196,0.920375,0.91367,1,0.787628,113
0.277679,0.866612,0.192861,0.866095,Synthetic observational data with measured and hidden confounding for teaching causal review.,1.035285,0.842424,1.035285,0.886737,1,0.802166,114
0.435936,0.380265,0.194291,0.535854,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.744833,0.550542,0.744833,0.969671,1,0.730815,115
0.784127,0.310751,0.230474,0.616724,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.337638,0.337638,0.568112,0.326252,0,0.447698,116
0.464241,0.54471,0.212911,0.590432,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.513938,0.513938,0.72685,0.525397,0,0.587609,117
0.505473,0.236403,0.232354,0.771278,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.372372,0.372372,0.604726,0.07025,0,0.40763,118
0.503065,0.595662,0.216813,0.617505,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.659341,0.442528,0.659341,0.456964,1,0.5648,119
0.521336,0.67686,0.231966,0.436313,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.51987,0.287904,0.51987,0.091859,1,0.382866,120
0.826833,0.741774,0.220727,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.658254,0.437527,0.658254,0.601957,1,0.667765,121
0.800351,0.436084,0.225179,0.490095,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.298664,0.298664,0.523844,0.470781,0,0.488953,122
0.499561,0.502822,0.201049,0.563092,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.554783,0.554783,0.755832,0.848436,0,0.696308,123
0.347168,0.968707,0.20688,0.51118,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.803903,0.597023,0.803903,0.588373,1,0.646439,124
0.586449,0.400772,0.236232,0.461186,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.574738,0.338506,0.574738,0.034042,1,0.335347,125
0.469217,0.367975,0.216808,0.645451,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.391259,0.391259,0.608067,0.43171,0,0.545295,126
0.639382,0.496694,0.234295,0.492832,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.302822,0.302822,0.537117,0.122167,0,0.375819,127
0.953258,0.354942,0.244155,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.497775,0.25362,0.497775,0.111059,1,0.421452,128
0.353776,0.543621,0.220106,0.678787,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.634307,0.4142,0.634307,0.262678,1,0.514016,129
0.752181,0.700518,0.206105,0.827545,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.524102,0.524102,0.730207,0.911508,0,0.748171,130
0.634645,0.782762,0.217051,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.519542,0.519542,0.736594,0.5497,0,0.675226,131
0.374734,0.901654,0.210622,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.693508,0.482886,0.693508,0.515489,1,0.702667,132
0.443781,0.613199,0.194473,0.848598,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.8506,0.656127,0.8506,0.971023,1,0.793153,133
0.628729,0.783867,0.214152,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.826856,0.612704,0.826856,0.617747,1,0.700113,134
0.429815,0.509765,0.210996,0.45276,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.701918,0.490922,0.701918,0.547454,1,0.569587,135
0.497141,0.708644,0.213444,0.542781,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.721127,0.507683,0.721127,0.53676,1,0.591849,136
0.586155,0.405379,0.21059,0.762723,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.706122,0.495532,0.706122,0.674868,1,0.652794,137
0.444097,0.6033,0.222166,0.547664,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.443262,0.443262,0.665428,0.278928,0,0.485666,138
0.493361,0.483745,0.229589,0.913688,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.461494,0.231905,0.461494,0.130291,1,0.484899,139
0.312842,0.541306,0.201648,0.647992,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.803133,0.601486,0.803133,0.693438,1,0.681866,140
0.508941,0.322308,0.220086,0.843762,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.703113,0.483026,0.703113,0.379543,1,0.556343,141
0.293836,0.452361,0.214577,0.620654,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.634242,0.419665,0.634242,0.355963,1,0.540315,142
0.769486,0.343194,0.233294,0.516836,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.430192,0.196898,0.430192,0.244759,1,0.398927,143
0.489829,0.52873,0.213445,0.834574,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.612485,0.39904,0.612485,0.531251,1,0.634507,144
0.54827,0.309281,0.226742,0.183324,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.238215,0.238215,0.464957,0.242654,0,0.357301,145
0.762832,0.331081,0.23836,0.748988,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.572434,0.334075,0.572434,0.113134,1,0.394039,146
0.595142,0.501161,0.220082,0.623199,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.425312,0.425312,0.645394,0.44431,0,0.540141,147
0.425458,0.571342,0.228914,0.668151,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.611449,0.382534,0.611449,0.096233,1,0.436023,148
0.12215,0.664632,0.192892,0.680011,Synthetic observational data with measured and hidden confounding for teaching causal review.,1.00702,0.814129,1.00702,0.769325,1,0.743232,149
0.62208,0.433919,0.226805,0.575972,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.57052,0.343715,0.57052,0.296444,1,0.459697,150
0.169319,0.375136,0.197117,0.639929,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.902477,0.70536,0.902477,0.699055,1,0.686875,151
0.680267,0.233283,0.233773,0.730786,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.460311,0.226538,0.460311,0.165877,1,0.413957,152
0.66441,0.797158,0.215276,0.618309,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.702909,0.487633,0.702909,0.616419,1,0.623923,153
0.623108,0.868678,0.201806,0.772123,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.886575,0.684769,0.886575,0.922185,1,0.766605,154
0.617241,0.280944,0.231724,0.374072,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.294094,0.294094,0.525817,0.169834,0,0.355955,155
0.617613,0.274406,0.236161,0.546448,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.444611,0.20845,0.444611,0.059174,1,0.347165,156
0.528521,0.217075,0.219295,0.897581,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.409242,0.409242,0.628537,0.414024,0,0.569883,157
0.132302,0.217964,0.212546,0.385587,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.632017,0.419471,0.632017,0.285569,1,0.463182,158
0.696944,0.281505,0.225327,0.674227,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.414846,0.414846,0.640173,0.389534,0,0.495258,159
0.236187,0.44798,0.19292,0.818127,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.794764,0.794764,0.987684,0.854141,0,0.765241,160
0.689204,0.242324,0.239511,0.566417,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.160636,0.160636,0.400147,0.029137,0,0.328557,161
0.550578,0.578381,0.219099,0.666932,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.687885,0.468786,0.687885,0.435448,1,0.55848,162
0.388681,0.664588,0.226735,0.372726,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.340427,0.340427,0.567163,0.123124,0,0.398625,163
0.493499,0.620942,0.221957,0.688792,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.678082,0.456125,0.678082,0.321196,1,0.527809,164
0.531089,0.710159,0.210839,0.763188,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.625532,0.414693,0.625532,0.62734,1,0.666029,165
0.437653,0.491359,0.213701,0.584724,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.727609,0.513908,0.727609,0.485713,1,0.569475,166
0.82339,0.655165,0.210509,1.0,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.517225,0.517225,0.727734,0.854818,0,0.747796,167
0.395469,0.602422,0.228217,0.496813,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.563497,0.335279,0.563497,0.091165,1,0.405175,168
0.0,0.4512,0.200977,0.648269,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.828078,0.627101,0.828078,0.475574,1,0.63266,169
0.400639,0.558544,0.203504,0.526855,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.61071,0.61071,0.814214,0.712874,0,0.656832,170
0.356328,0.677369,0.20659,0.724188,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.453237,0.453237,0.659826,0.602508,0,0.668364,171
0.346849,0.377645,0.21581,0.636739,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.376218,0.376218,0.592028,0.364895,0,0.533627,172
0.299867,0.411669,0.21623,0.849974,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.586982,0.586982,0.803212,0.319162,0,0.569118,173
0.569957,0.284748,0.229847,0.550308,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.478108,0.248261,0.478108,0.181281,1,0.402048,174
0.381045,0.860997,0.201893,0.803484,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.803712,0.601819,0.803712,0.738458,1,0.739466,175
0.406406,0.38665,0.217879,0.19028,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.738811,0.520932,0.738811,0.357822,1,0.428971,176
0.307454,0.538498,0.19252,0.629394,Synthetic observational data with measured and hidden confounding for teaching causal review.,1.030528,0.838008,1.030528,0.917593,1,0.75369,177
0.541246,0.432338,0.209797,0.544914,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.737044,0.527247,0.737044,0.661008,1,0.612414,178
0.371971,0.426665,0.216254,0.721035,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.371642,0.371642,0.587896,0.372629,0,0.555388,179
0.356637,0.442725,0.216369,0.644269,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.71449,0.498121,0.71449,0.358262,1,0.536824,180
0.532786,0.581563,0.221577,0.393676,Synthetic observational data with measured and hidden confounding for teaching causal review.,0.347109,0.347109,0.568686,0.360169,0,0.472383,181
