baseline_capacity,institutional_access,interpretation,observed_outcome,potential_outcome_control,potential_outcome_treated,prior_risk,treatment,treatment_probability,true_effect,unit_id
0.345123,0.266651,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.626621,0.446621,0.626621,0.668477,1,0.607346,0.18,26
0.107227,0.749679,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.718322,0.538322,0.718322,0.583065,1,0.702638,0.18,27
0.1887,0.510505,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.247336,0.247336,0.427336,0.222928,0,0.486879,0.18,28
0.655404,0.906915,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.445533,0.445533,0.625533,0.504721,0,0.629828,0.18,29
0.226739,0.235601,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.428497,0.428497,0.608497,0.306004,0,0.456809,0.18,30
0.569998,0.684106,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.34567,0.34567,0.52567,0.196697,0,0.457044,0.18,31
0.537458,0.691069,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.511145,0.331145,0.511145,0.353403,1,0.533851,0.18,32
0.655434,0.579032,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.580188,0.400188,0.580188,0.32776,1,0.479471,0.18,33
0.550594,0.677104,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.794395,0.614395,0.794395,0.804939,1,0.716654,0.18,34
0.355171,0.412956,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.491929,0.311929,0.491929,0.336419,1,0.491029,0.18,35
0.635981,0.850657,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.610305,0.610305,0.790305,0.921455,0,0.77602,0.18,36
0.406219,0.666398,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.447306,0.447306,0.627306,0.451821,0,0.591291,0.18,37
0.529108,0.616746,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.323728,0.323728,0.503728,0.529937,0,0.596642,0.18,38
0.439518,0.690107,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.441903,0.261903,0.441903,0.160391,1,0.461598,0.18,39
0.468849,0.663676,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.573231,0.393231,0.573231,0.304909,1,0.516203,0.18,40
0.520286,0.570599,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.660088,0.480088,0.660088,0.780248,1,0.691217,0.18,41
0.539782,0.759397,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.40082,0.40082,0.58082,0.796602,0,0.729773,0.18,42
0.503725,0.961949,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.215355,0.215355,0.395355,0.231335,0,0.54486,0.18,43
0.274657,0.934374,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.640841,0.460841,0.640841,0.849493,1,0.803013,0.18,44
0.445269,0.372159,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.353058,0.353058,0.533058,0.156759,0,0.389348,0.18,45
0.418269,0.870579,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.63543,0.45543,0.63543,0.5558,1,0.675463,0.18,46
0.501812,0.538818,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.533165,0.353165,0.533165,0.268101,1,0.466657,0.18,47
0.481289,0.690272,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.552792,0.372792,0.552792,0.684547,1,0.682364,0.18,48
0.453032,0.562739,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.453512,0.453512,0.633512,0.630087,0,0.638487,0.18,49
0.714904,0.766499,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.310645,0.310645,0.490645,0.260858,0,0.48262,0.18,50
0.466617,0.71692,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.765848,0.585848,0.765848,0.776779,1,0.723814,0.18,51
0.140271,0.734726,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.673922,0.493922,0.673922,0.685827,1,0.733329,0.18,52
0.279411,0.539822,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.812091,0.632091,0.812091,0.779757,1,0.7154,0.18,53
0.103875,0.532454,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.422677,0.422677,0.602677,0.215636,0,0.501257,0.18,54
0.312039,0.896863,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.410657,0.410657,0.590657,0.686463,0,0.741846,0.18,55
0.550905,0.919245,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.465023,0.285023,0.465023,0.356318,1,0.583741,0.18,56
0.843687,0.612217,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.515937,0.515937,0.695937,0.695301,0,0.621595,0.18,57
0.726717,0.843557,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.431146,0.251146,0.431146,0.318883,1,0.524271,0.18,58
0.412053,0.674642,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.672905,0.492905,0.672905,0.560863,1,0.638648,0.18,59
0.394593,0.701635,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.468442,0.288442,0.468442,0.354041,1,0.557739,0.18,60
0.596015,0.585059,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.550666,0.370666,0.550666,0.578127,1,0.600986,0.18,61
0.344202,0.641673,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.259652,0.259652,0.439652,0.125208,0,0.449265,0.18,62
0.528977,0.610833,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.725602,0.545602,0.725602,0.683752,1,0.65996,0.18,63
0.495807,0.690907,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.480421,0.480421,0.660421,0.478843,0,0.59538,0.18,64
0.332575,0.820263,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.781476,0.601476,0.781476,0.593651,1,0.691526,0.18,65
0.351743,0.564247,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.420975,0.240975,0.420975,0.265223,1,0.493545,0.18,66
0.550113,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.803796,0.623796,0.803796,0.657868,1,0.721938,0.18,67
0.747056,0.714994,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.622423,0.442423,0.622423,0.862107,1,0.720522,0.18,68
0.407318,0.918837,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.63251,0.63251,0.81251,0.976171,0,0.823417,0.18,69
0.40762,0.74006,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.48861,0.30861,0.48861,0.359109,1,0.566572,0.18,70
0.389052,0.645593,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.836491,0.656491,0.836491,0.788629,1,0.724548,0.18,71
0.578364,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.662088,0.482088,0.662088,0.950442,1,0.81211,0.18,72
0.394515,0.700394,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.742111,0.562111,0.742111,0.795366,1,0.736005,0.18,73
0.478515,0.637497,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.69896,0.51896,0.69896,0.73952,1,0.693764,0.18,74
0.310752,0.558224,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.443566,0.443566,0.623566,0.848712,0,0.73955,0.18,75
0.487892,0.994503,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.602179,0.422179,0.602179,0.516596,1,0.675286,0.18,76
0.422649,0.553665,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.531896,0.351896,0.531896,0.085537,1,0.400994,0.18,77
0.533733,0.80914,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.780864,0.600864,0.780864,0.787244,1,0.73595,0.18,78
0.52403,0.754011,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.469137,0.469137,0.649137,0.357223,0,0.551614,0.18,79
0.247976,0.684579,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.533839,0.533839,0.713839,0.480012,0,0.6298,0.18,80
0.437972,0.90493,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.877937,0.697937,0.877937,0.979023,1,0.819638,0.18,81
0.732353,0.793471,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.17444,0.17444,0.35444,0.163938,0,0.442703,0.18,82
0.506043,0.885223,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.687185,0.507185,0.687185,0.643405,1,0.70082,0.18,83
0.823469,0.804346,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.751031,0.571031,0.751031,0.610019,1,0.628985,0.18,84
0.281532,0.742685,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.765009,0.585009,0.765009,0.873977,1,0.781197,0.18,85
0.555058,0.644263,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.64097,0.64097,0.82097,0.909499,0,0.747231,0.18,86
0.494996,0.49115,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.663527,0.483527,0.663527,0.683534,1,0.640008,0.18,87
0.389002,0.597787,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.735827,0.555827,0.735827,0.494813,1,0.597551,0.18,88
0.499805,0.469769,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.2977,0.2977,0.4777,0.325002,0,0.476994,0.18,89
0.593234,0.300383,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.628696,0.448696,0.628696,0.403069,1,0.460068,0.18,90
0.672157,0.538516,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.651177,0.471177,0.651177,0.689161,1,0.627583,0.18,91
0.522162,0.421892,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.305259,0.125259,0.305259,0.154379,1,0.388003,0.18,92
0.430496,0.697936,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.295353,0.295353,0.475353,0.267629,0,0.512891,0.18,93
0.528018,0.741223,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.864404,0.684404,0.864404,0.626877,1,0.663441,0.18,94
0.724951,0.527065,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.320812,0.320812,0.500812,0.123236,0,0.36847,0.18,95
0.353587,0.757411,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.634197,0.634197,0.814197,0.674117,0,0.707429,0.18,96
0.144681,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.82716,0.64716,0.82716,0.908542,1,0.838697,0.18,97
0.344558,0.602517,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.540818,0.540818,0.720818,0.35216,0,0.542254,0.18,98
0.51747,0.424704,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.13204,0.13204,0.31204,0.010515,0,0.329749,0.18,99
0.102248,0.597816,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.8194,0.6394,0.8194,0.778201,1,0.746011,0.18,100
0.658738,0.576565,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.176711,0.176711,0.356711,0.037496,0,0.352323,0.18,101
0.429385,0.636176,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.324168,0.324168,0.504168,0.209224,0,0.472909,0.18,102
0.371553,0.490484,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.489546,0.309546,0.489546,0.078988,1,0.391904,0.18,103
0.347832,0.695891,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.540065,0.360065,0.540065,0.219404,1,0.503133,0.18,104
0.389365,0.368667,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.295529,0.295529,0.475529,0.309448,0,0.46386,0.18,105
0.444185,0.586454,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.349494,0.349494,0.529494,0.270875,0,0.487221,0.18,106
0.426702,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.811196,0.631196,0.811196,0.988501,1,0.835247,0.18,107
0.493738,0.841354,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.646001,0.646001,0.826001,0.606606,0,0.679803,0.18,108
0.572987,0.521484,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.188264,0.188264,0.368264,0.036715,0,0.352431,0.18,109
0.549979,0.901474,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.634675,0.454675,0.634675,0.198734,1,0.509764,0.18,110
0.628168,0.779107,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.440844,0.260844,0.440844,0.218294,1,0.479318,0.18,111
0.44595,0.459766,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.597286,0.417286,0.597286,0.682057,1,0.639667,0.18,112
0.523224,0.354238,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.358245,0.178245,0.358245,0.090718,1,0.347096,0.18,113
0.893981,0.74455,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.372697,0.192697,0.372697,0.181161,1,0.41576,0.18,114
0.487357,0.959349,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.498748,0.318748,0.498748,0.25749,1,0.558353,0.18,115
0.531218,0.75966,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.732176,0.552176,0.732176,0.609355,1,0.659665,0.18,116
0.436043,0.463881,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.392739,0.392739,0.572739,0.508034,0,0.567174,0.18,117
0.266414,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.621155,0.441155,0.621155,0.488584,1,0.694152,0.18,118
0.530211,0.605629,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.851239,0.671239,0.851239,0.997192,1,0.772395,0.18,119
0.439891,0.980964,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.800755,0.620755,0.800755,0.97975,1,0.829556,0.18,120
0.601647,0.961645,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.716498,0.536498,0.716498,0.656982,1,0.708283,0.18,121
0.469189,0.17966,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.339054,0.339054,0.519054,0.178986,0,0.354883,0.18,122
0.560636,0.687519,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.632514,0.452514,0.632514,0.457294,1,0.57579,0.18,123
0.497532,0.88459,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.609153,0.429153,0.609153,0.489742,1,0.640871,0.18,124
0.446647,0.446747,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.389182,0.389182,0.569182,0.364157,0,0.497392,0.18,125
0.505214,0.860585,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.707603,0.527603,0.707603,0.714817,1,0.722735,0.18,126
0.191984,0.603764,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.696295,0.516295,0.696295,0.58601,1,0.664411,0.18,127
0.603301,0.490259,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.169986,0.169986,0.349986,0.191327,0,0.407005,0.18,128
0.556579,0.819663,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.570334,0.570334,0.750334,0.833105,0,0.750885,0.18,129
0.288679,0.900829,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.732671,0.732671,0.912671,0.991864,0,0.835194,0.18,130
0.460803,0.974888,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.825712,0.645712,0.825712,0.705042,1,0.744596,0.18,131
0.764905,0.493925,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.270546,0.090546,0.270546,0.091764,1,0.343162,0.18,132
0.343626,0.514621,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.492799,0.312799,0.492799,0.078819,1,0.401038,0.18,133
1.0,0.824772,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.298672,0.118672,0.298672,0.189299,1,0.421415,0.18,134
0.104913,0.554922,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.852602,0.672602,0.852602,0.970994,1,0.799676,0.18,135
0.274966,0.719347,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.243456,0.243456,0.423456,0.009522,0,0.425453,0.18,136
0.750772,0.878945,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.644437,0.464437,0.644437,0.488171,1,0.603315,0.18,137
0.169645,0.664514,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.612704,0.432704,0.612704,0.608541,1,0.688185,0.18,138
0.770332,0.623249,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.375059,0.195059,0.375059,0.326252,1,0.471525,0.18,139
0.467239,0.958618,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.636846,0.456846,0.636846,0.525397,1,0.674394,0.18,140
0.534966,0.501348,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.125412,0.125412,0.305412,0.03723,0,0.353714,0.18,141
0.309562,0.641372,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.657007,0.477007,0.657007,0.645469,1,0.679907,0.18,142
0.539258,0.63305,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.466831,0.286831,0.466831,0.021966,1,0.374193,0.18,143
0.821159,0.735242,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.40656,0.22656,0.40656,0.254948,1,0.457088,0.18,144
0.811268,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.410338,0.410338,0.590338,0.601957,0,0.66747,0.18,145
0.333864,0.516785,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.579137,0.579137,0.759137,0.470781,0,0.577421,0.18,146
0.437775,0.30172,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.424474,0.244474,0.424474,0.400039,1,0.482246,0.18,147
0.538867,0.67643,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.277422,0.277422,0.457422,0.438523,0,0.568273,0.18,148
0.593004,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.689824,0.509824,0.689824,0.482837,1,0.648694,0.18,149
0.577051,0.627833,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.521712,0.341712,0.521712,0.140288,1,0.418566,0.18,150
0.47499,0.654085,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.195835,0.195835,0.375835,0.43171,0,0.569732,0.18,151
0.478479,0.524698,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.469646,0.289646,0.469646,0.122167,1,0.402524,0.18,152
0.587487,0.520154,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.505015,0.325015,0.505015,0.170063,1,0.406551,0.18,153
0.620931,0.539933,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.22879,0.22879,0.40879,0.005771,0,0.337103,0.18,154
0.471638,0.74561,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.668904,0.488904,0.668904,0.524721,1,0.630081,0.18,155
0.502968,0.693818,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.465256,0.465256,0.645256,0.842156,0,0.738568,0.18,156
0.630017,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.389282,0.389282,0.569282,0.5497,0,0.670721,0.18,157
0.817446,0.354988,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.241291,0.241291,0.421291,0.515489,0,0.489227,0.18,158
0.038055,0.511339,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.97677,0.79677,0.97677,0.96741,1,0.798784,0.18,159
0.780048,0.7614,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.45685,0.27685,0.45685,0.279123,1,0.479924,0.18,160
0.572707,1.0,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.700201,0.520201,0.700201,0.924792,1,0.805495,0.18,161
0.432256,0.621289,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.62471,0.44471,0.62471,0.540216,1,0.615903,0.18,162
0.502389,0.553516,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.574178,0.394178,0.574178,0.53676,1,0.589742,0.18,163
0.531628,0.769918,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.726462,0.546462,0.726462,0.674868,1,0.687555,0.18,164
0.599602,0.60047,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.407353,0.407353,0.587353,0.504848,0,0.571846,0.18,165
0.535774,0.705285,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.30501,0.30501,0.48501,0.34433,0,0.533223,0.18,166
0.158677,0.826262,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.79763,0.61763,0.79763,0.862674,1,0.802381,0.18,167
0.412361,0.373493,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.513285,0.333285,0.513285,0.322394,1,0.467306,0.18,168
0.511736,0.851353,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.4744,0.2944,0.4744,0.379543,1,0.584762,0.18,169
0.501508,0.551143,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.23739,0.23739,0.41739,0.355963,0,0.508963,0.18,170
0.612892,0.512796,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.391875,0.211875,0.391875,0.237994,1,0.430986,0.18,171
0.385178,0.449091,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.54033,0.54033,0.72033,0.566432,0,0.596921,0.18,172
0.270775,0.611038,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.399573,0.399573,0.579573,0.342551,0,0.550839,0.18,173
0.312182,0.988522,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.796733,0.616733,0.796733,0.941868,1,0.8317,0.18,174
0.748069,0.751251,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.337062,0.157062,0.337062,0.113134,1,0.408765,0.18,175
0.495803,0.736242,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.445007,0.445007,0.625007,0.44431,0,0.590225,0.18,176
0.533805,0.482148,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.154653,0.154653,0.334653,0.005009,0,0.336857,0.18,177
0.482736,0.669692,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.508055,0.508055,0.688055,0.385206,0,0.55143,0.18,178
0.709712,0.756015,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.678472,0.498472,0.678472,0.830846,1,0.721137,0.18,179
0.547224,0.741459,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.441428,0.261428,0.441428,0.168152,1,0.460496,0.18,180
0.195426,0.65391,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.825665,0.645665,0.825665,0.699055,1,0.716986,0.18,181
0.652831,0.394802,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.262507,0.262507,0.442507,0.165877,0,0.3687,0.18,182
0.584474,0.514621,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.418621,0.238621,0.418621,0.64454,1,0.61601,0.18,183
0.242508,0.595904,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.875376,0.695376,0.875376,0.693607,1,0.698318,0.18,184
0.588398,0.921062,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.647275,0.467275,0.647275,0.508671,1,0.643715,0.18,185
0.36733,0.8624,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.705582,0.525582,0.705582,0.580466,1,0.690103,0.18,186
0.610968,0.547632,Synthetic data include confounding because prior risk and access affect both treatment probability and outcome.,0.160066,0.160066,0.340066,0.059174,0,0.361883,0.18,187
