feature_access,feature_risk,interpretation,label,latent_group,predicted_probability,split,true_probability,unit_id
0.566147,0.620912,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.403177,train,0.505618,17
0.578341,0.079013,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.556059,train,0.73008,18
0.211948,0.83808,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.222531,train,0.216181,19
0.635445,0.76907,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.393184,train,0.468439,20
0.687078,0.32633,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.535795,train,0.710669,21
0.09084,0.925835,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.173726,test,0.19457,22
0.636655,0.720214,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.406588,train,0.541614,23
0.654161,0.222473,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.549849,train,0.717184,24
0.389441,0.806306,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.287939,train,0.311934,25
0.803231,0.496452,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.539805,train,0.598666,26
0.386632,0.117504,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.461912,test,0.676246,27
0.18039,0.72705,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.234321,train,0.288525,28
0.603817,0.578505,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.430533,train,0.503493,29
0.32572,0.177373,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.419433,train,0.637695,30
0.2261,0.719121,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.250611,train,0.312109,31
0.792301,0.455627,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.546202,train,0.665094,32
0.506072,0.310151,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.461193,train,0.6423,33
0.269692,0.723474,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.264276,train,0.279685,34
0.573246,0.718745,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.380497,test,0.479353,35
0.512389,0.252156,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.479838,train,0.660388,36
0.043971,0.759975,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.188617,test,0.227854,37
0.810541,0.373181,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.576384,train,0.652873,38
0.66325,0.415738,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.500844,test,0.659355,39
0.293822,0.662729,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.286016,train,0.330922,40
0.671544,0.457832,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.492897,test,0.567878,41
0.569686,0.281828,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.496735,train,0.637884,42
0.251903,0.995404,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.205199,train,0.249633,43
0.540531,0.684627,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.375859,train,0.449709,44
0.62815,0.348481,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.503983,train,0.656111,45
0.159958,0.553974,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.263192,test,0.283282,46
0.634098,0.731873,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.402421,test,0.519307,47
0.601227,0.139061,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.549631,test,0.685945,48
0.130543,0.595965,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.244695,train,0.267891,49
0.856697,0.577052,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.541023,train,0.635974,50
0.569061,0.097585,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.546989,test,0.725997,51
0.224796,0.638279,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.267232,train,0.270452,52
0.677955,0.418797,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.506436,train,0.582541,53
0.424424,0.248655,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.44256,train,0.65828,54
0.135014,0.480233,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.270521,train,0.28095,55
0.423266,0.458792,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.386048,test,0.525563,56
0.519351,0.126577,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.5174,train,0.73014,57
0.168875,0.591291,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.258287,train,0.328931,58
0.486778,0.508382,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.399546,test,0.531529,59
0.649312,0.114559,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.576954,test,0.759665,60
0.128995,0.646933,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.233996,test,0.252647,61
0.704146,0.68604,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.444631,train,0.564558,62
0.505275,0.109633,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.515903,test,0.693449,63
0.282156,0.60691,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.294458,train,0.323105,64
0.47496,0.452582,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.409348,train,0.481007,65
0.497899,0.203773,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.486796,train,0.7003,66
0.210883,0.684783,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.252709,train,0.303552,67
0.633006,0.757898,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.395099,train,0.452871,68
0.817136,0.176039,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.630962,test,0.777703,69
0.425506,0.591843,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.352883,train,0.400904,70
0.68485,0.426447,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.507348,train,0.61473,71
0.693072,0.429429,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.510125,train,0.671988,72
0.264163,0.535586,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.30431,test,0.349888,73
0.703629,0.551021,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.481316,test,0.486462,74
0.63449,0.090954,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.57696,train,0.692953,75
0.099045,0.528458,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.248249,train,0.275614,76
0.803469,0.679776,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.489581,train,0.572625,77
0.624091,0.236555,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.532939,train,0.69234,78
0.035781,0.951743,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.156527,train,0.192853,79
0.819011,0.455212,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.557873,train,0.646713,80
0.919722,0.16653,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.674,train,0.811254,81
0.336512,0.829047,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.264433,train,0.327436,82
0.645687,0.574058,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.449792,test,0.53258,83
0.62472,0.171911,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.550863,train,0.711904,84
0.344463,0.562467,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.328296,train,0.329959,85
0.753478,0.631341,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.481037,train,0.568968,86
0.500775,0.098978,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.516864,test,0.687098,87
0.196679,0.59627,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.266646,test,0.295585,88
0.590667,0.70703,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.390773,train,0.46657,89
0.758887,0.158615,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.611489,test,0.767707,90
0.182013,0.596923,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.261518,train,0.295072,91
0.540124,0.69183,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.373836,test,0.511686,92
0.526892,0.446649,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.433091,test,0.602522,93
0.410913,0.638734,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.335478,train,0.346145,94
0.715548,0.649939,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.459409,train,0.532175,95
0.579017,0.170086,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.531504,train,0.687479,96
0.399022,0.573536,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.346921,test,0.403283,97
0.602216,0.515648,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.446868,train,0.565557,98
0.690436,0.230137,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.563434,train,0.726572,99
0.319172,0.724046,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.281325,train,0.283446,100
0.725375,0.599739,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.477439,test,0.607393,101
0.697991,0.253613,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.560332,train,0.745076,102
0.368539,0.787746,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.284637,train,0.305639,103
0.645964,0.605584,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.441345,test,0.568299,104
0.498022,0.364681,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.442848,test,0.623188,105
0.058445,0.683631,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.205917,train,0.254678,106
0.97755,0.554138,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.598966,train,0.702086,107
0.464066,0.147762,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.487397,train,0.660714,108
0.344271,0.731841,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.288527,train,0.3533,109
0.677296,0.610377,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.453597,train,0.570714,110
0.557266,0.259264,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.497506,train,0.67053,111
0.241349,0.615335,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.277979,train,0.273464,112
0.760559,0.657307,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.477001,train,0.550056,113
0.53629,0.370848,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.457745,test,0.703524,114
0.207438,0.99098,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.193557,test,0.234127,115
0.553656,0.515476,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.426016,test,0.518192,116
0.41565,0.212595,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.448566,train,0.59738,117
0.203272,0.546865,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.279725,train,0.310033,118
0.759717,0.577888,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.498457,train,0.568943,119
0.459307,0.412276,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.413451,train,0.600738,120
0.198453,0.664468,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.252821,train,0.278212,121
0.62475,0.620865,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.428092,train,0.546773,122
0.481838,0.240445,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.469719,train,0.669265,123
0.243312,0.549493,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.293458,test,0.322624,124
0.559544,0.693132,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.381487,train,0.44461,125
0.589076,0.212456,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.524276,test,0.692538,126
0.072687,0.603577,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.225005,test,0.260928,127
0.571823,0.659626,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.395345,train,0.541276,128
0.583564,0.15637,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.537238,test,0.717467,129
0.504865,0.825479,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.3264,train,0.345345,130
0.569396,0.277034,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.497926,train,0.578735,131
0.463921,0.434465,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.409496,test,0.629275,132
0.37331,0.790335,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.285758,train,0.300813,133
0.605187,0.688613,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.401698,test,0.559884,134
0.706367,0.188562,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.581449,train,0.76818,135
0.119763,0.84534,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.194616,train,0.223616,136
0.59023,0.584855,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.423008,train,0.533749,137
0.414305,0.095081,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.480122,train,0.647442,138
0.181105,0.781682,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.223929,train,0.243036,139
0.538689,0.434349,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.4415,test,0.539758,140
0.69293,0.257155,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.557188,train,0.761069,141
0.326295,0.604154,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.311406,train,0.313845,142
0.882891,0.61529,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.541961,train,0.635005,143
0.588748,0.210031,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.524798,test,0.751968,144
0.175473,0.663787,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.245439,train,0.317877,145
0.596292,0.475936,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.455116,train,0.559867,146
0.443063,0.304714,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.435407,train,0.640425,147
0.126622,0.509765,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.261313,train,0.304806,148
0.630143,0.582345,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.440821,train,0.564165,149
0.513557,0.276685,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.473617,test,0.671021,150
0.056919,0.781394,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.188479,train,0.240799,151
0.674567,0.662791,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.438174,test,0.553847,152
0.603997,0.327249,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.499255,train,0.68542,153
0.253402,0.779358,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.247156,train,0.274252,154
0.410304,0.539054,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.360101,test,0.480558,155
0.583758,0.338378,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.487343,train,0.63382,156
0.191825,0.690077,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.245383,train,0.329966,157
0.573888,0.301553,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.493149,train,0.586676,158
0.706154,0.184622,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.582413,train,0.746722,159
0.213819,0.697356,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.251071,test,0.281123,160
0.687676,0.558991,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.472165,train,0.559867,161
0.418243,0.084131,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.48485,train,0.663896,162
0.10041,0.66932,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.220882,test,0.250433,163
0.669186,0.545784,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.467723,train,0.551892,164
0.450301,0.216686,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.462489,test,0.644372,165
0.375945,0.588733,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.334099,train,0.38989,166
0.774283,0.421606,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.547662,train,0.647374,167
0.438058,0.158375,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.473123,test,0.683023,168
0.012217,0.914087,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.156551,train,0.168682,169
0.651426,0.457889,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.484085,train,0.612656,170
0.558068,0.336456,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.476646,train,0.660277,171
0.31355,0.606076,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.306195,train,0.324079,172
0.551354,0.743713,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.365119,train,0.461107,173
0.40678,0.373249,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.401623,train,0.584132,174
0.263478,0.740837,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.25849,test,0.271909,175
0.588102,0.485651,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.448919,train,0.557326,176
0.696268,0.225023,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.567325,test,0.759204,177
0.338101,0.627929,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.31023,train,0.346954,178
0.690671,0.500302,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.489587,train,0.583833,179
0.437161,0.30127,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.4338,test,0.652748,180
0.165343,0.520133,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.272337,train,0.302903,181
0.538422,0.607999,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.394948,train,0.509026,182
0.482202,0.125217,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.501529,train,0.66879,183
0.157584,0.661517,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.240143,test,0.252179,184
0.619654,0.578195,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.437425,train,0.526383,185
0.499953,0.106102,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.514547,train,0.681566,186
0.307791,0.737345,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.274393,test,0.328308,187
0.68339,0.28399,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.545757,train,0.670179,188
0.677322,0.0,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.619002,train,0.762617,189
0.378601,0.754757,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.295737,test,0.302245,190
0.547464,0.640329,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.390241,train,0.454896,191
0.381843,0.111078,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.461586,train,0.64332,192
0.299387,0.716035,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.276136,train,0.315467,193
0.785853,0.508521,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.528935,test,0.624737,194
0.611874,0.270018,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.518432,train,0.713394,195
0.324258,0.612638,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.308647,train,0.317643,196
0.683456,0.605382,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.457634,test,0.54799,197
0.602706,0.394725,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.480145,train,0.686408,198
0.07281,0.714453,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.204487,train,0.24565,199
0.721563,0.613633,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.471964,train,0.559194,200
0.313345,0.35445,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.367829,train,0.596615,201
0.310714,0.660125,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.292683,train,0.321083,202
0.762561,0.578227,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.499608,train,0.584405,203
0.568104,0.120866,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.54022,train,0.72031,204
0.064309,0.572464,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.228435,train,0.257197,205
0.847567,0.447498,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.57224,train,0.683362,206
0.415332,0.14178,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.467763,train,0.636854,207
0.417084,0.691413,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,0,0.325051,train,0.317435,208
0.79743,0.614947,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,1,0.504765,train,0.576581,209
0.534433,0.292773,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,2,0.478315,train,0.709926,210
0.136791,0.812835,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.205097,test,0.248081,211
0.622165,0.721321,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,1,0.400192,train,0.484976,212
0.687906,0.138646,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",1,2,0.586939,train,0.734296,213
0.124825,0.659394,"Synthetic features support supervised labels, unsupervised clusters, and governance review of measurement assumptions.",0,0,0.230252,train,0.265884,214
