adaptation_rate,average_risk,capacity_investment,demand_growth,failure_rate,interpretation,name,noise_scale,periods,seed,stability_margin,sweep_type,threshold,threshold_crossings
0.3,0.489776,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,13,0.110224,seed_ensemble,0.6,3
0.3,0.477293,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,14,0.122707,seed_ensemble,0.6,2
0.3,0.441732,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,15,0.158268,seed_ensemble,0.6,0
0.3,0.479751,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,16,0.120249,seed_ensemble,0.6,1
0.3,0.403771,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,17,0.196229,seed_ensemble,0.6,0
0.3,0.468469,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,18,0.131531,seed_ensemble,0.6,0
0.3,0.455124,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,19,0.144876,seed_ensemble,0.6,0
0.3,0.503949,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,20,0.096051,seed_ensemble,0.6,9
0.3,0.532448,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,21,0.067552,seed_ensemble,0.6,11
0.3,0.489349,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,22,0.110651,seed_ensemble,0.6,4
0.3,0.430854,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,23,0.169146,seed_ensemble,0.6,0
0.3,0.541049,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,24,0.058951,seed_ensemble,0.6,11
0.3,0.532778,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,25,0.067222,seed_ensemble,0.6,14
0.3,0.491737,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,26,0.108263,seed_ensemble,0.6,9
0.3,0.509673,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,27,0.090327,seed_ensemble,0.6,8
0.3,0.573125,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,28,0.026875,seed_ensemble,0.6,22
0.3,0.410269,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,29,0.189731,seed_ensemble,0.6,0
0.3,0.527828,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,30,0.072172,seed_ensemble,0.6,9
0.3,0.519948,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,31,0.080052,seed_ensemble,0.6,9
0.3,0.535994,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,32,0.064006,seed_ensemble,0.6,12
0.3,0.343238,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,33,0.256762,seed_ensemble,0.6,0
0.3,0.435091,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,34,0.164909,seed_ensemble,0.6,0
0.3,0.378435,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,35,0.221565,seed_ensemble,0.6,0
0.3,0.533509,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,36,0.066491,seed_ensemble,0.6,11
0.3,0.397591,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,37,0.202409,seed_ensemble,0.6,0
0.3,0.405256,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,38,0.194744,seed_ensemble,0.6,0
0.3,0.497925,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,39,0.102075,seed_ensemble,0.6,0
0.3,0.525945,0.35,0.45,0.25,"Outputs depend on demand, capacity, failure, adaptation, threshold, noise, and random seed.",seed_ensemble,0.015,40,40,0.074055,seed_ensemble,0.6,9
